alg,threads,read_ratio,record_size,req_per_query,total_count,zipf_theta,tput_1,tput_2,tput_3
Silo,4,0.2,32.0,10.0,512000.0,0.0,803798.0,766750.0,794881.0
Silo,1,1.0,1000.0,1.0,512000.0,0.4,1166078.0,1408470.0,1157333.0
Cicada,4,0.6,1000.0,10.0,8192000.0,0.0,593288.0,589206.0,591063.0
Cicada,28,0.2,128.0,1.0,2048000.0,0.8,37358301.0,19938247.0,18889250.0
TicToc,1,0.0,32.0,10.0,2048000.0,0.4,196892.0,190592.0,190644.0
Hekaton,28,0.6,128.0,1.0,512000.0,0.4,3201340.0,3565671.0,3457292.0
TicToc,4,0.0,32.0,100.0,2048000.0,0.0,56137.0,56274.0,56136.0
Silo,16,0.0,128.0,1.0,32768000.0,0.8,18270311.0,17878364.0,18698510.0
2PL,28,1.0,128.0,1.0,8192000.0,0.4,25513984.0,17258350.0,17769097.0
2PL,4,1.0,1000.0,10.0,2048000.0,0.0,435088.0,420847.0,408330.0
2PL,1,0.2,1000.0,1.0,8192000.0,0.0,926240.0,925765.0,926800.0
TicToc,28,0.6,128.0,100.0,32768000.0,0.99,61725.0,63442.0,62965.0
ERMIA,1,1.0,100.0,10.0,512000.0,0.99,268607.0,274684.0,266774.0
Cicada,1,0.2,32.0,100.0,128000.0,0.4,46994.0,46792.0,48227.0
2PL,28,1.0,128.0,10.0,32768000.0,0.4,3185171.0,3246524.0,3110575.0
Cicada,16,0.6,8.0,10.0,128000.0,0.4,5569081.0,5466047.0,5572605.0
Cicada,16,0.0,128.0,10.0,128000.0,0.0,3759566.0,3658181.0,3630730.0
2PL,28,0.0,128.0,1.0,512000.0,0.8,30259471.0,29166270.0,29150594.0
2PL,16,1.0,8.0,100.0,128000.0,0.99,288413.0,285803.0,287083.0
FOEDUS,28,0.2,100.0,1.0,2048000.0,0.4,25306999.995225433,25106070.250283033,25336536.925115846
Cicada,16,0.2,32.0,100.0,8192000.0,0.0,306578.0,306679.0,306409.0
TicToc,1,0.0,128.0,100.0,128000.0,0.0,23236.0,23036.0,23406.0
ERMIA,28,0.6,100.0,100.0,2048000.0,0.4,266884.0,128901.0,140611.0
Hekaton,16,1.0,128.0,100.0,128000.0,0.0,410377.0,422047.0,415538.0
Cicada,4,0.0,8.0,100.0,32768000.0,0.99,57216.0,56780.0,56369.0
Hekaton,28,0.6,32.0,1.0,2048000.0,0.4,3539497.0,3284867.0,3256108.0
Hekaton,16,0.6,32.0,1.0,2048000.0,0.0,3539930.0,3508528.0,3556837.0
TicToc,28,0.6,128.0,100.0,128000.0,0.0,538394.0,275299.0,263031.0
Hekaton,4,1.0,1000.0,10.0,8192000.0,0.4,442360.0,439507.0,430701.0
Hekaton,16,0.6,8.0,10.0,8192000.0,0.99,625326.0,592033.0,626622.0
Cicada,16,0.2,128.0,1.0,2048000.0,0.4,18864680.0,18831886.0,18928754.0
2PL,28,0.6,32.0,10.0,128000.0,0.8,1528859.0,1489501.0,1511549.0
FOEDUS,28,0.6,100.0,10.0,8192000.0,0.0,3355030.5010622567,3278599.820971387,3210920.634125573
Cicada,16,0.0,1000.0,10.0,8192000.0,0.0,1565827.0,1565806.0,1564170.0
Cicada,16,0.6,128.0,10.0,2048000.0,0.99,1973114.0,2007854.0,1995409.0
TicToc,4,0.0,128.0,100.0,128000.0,0.4,69986.0,70762.0,70350.0
Cicada,1,0.2,32.0,100.0,2048000.0,0.8,33382.0,33051.0,32626.0
MOCC,4,0.6,100.0,10.0,128000.0,0.99,368496.4211562847,361991.6152215977,353465.61170804343
Cicada,4,0.2,128.0,10.0,2048000.0,0.0,783143.0,735468.0,758584.0
Hekaton,1,0.0,8.0,10.0,512000.0,0.4,140191.0,142773.0,140806.0
TicToc,28,0.6,8.0,1.0,2048000.0,0.0,35498156.0,24889854.0,23634984.0
TicToc,1,0.0,128.0,1.0,32768000.0,0.0,1227280.0,1234461.0,1230492.0
Silo,1,1.0,8.0,10.0,128000.0,0.4,583099.0,550444.0,549845.0
2PL,4,0.0,1000.0,10.0,32768000.0,0.0,357187.0,345364.0,346318.0
2PL,28,0.6,1000.0,10.0,2048000.0,0.4,2200489.0,835173.0,832355.0
Hekaton,16,0.0,1000.0,10.0,2048000.0,0.99,174288.0,170008.0,170116.0
2PL,4,0.2,1000.0,10.0,2048000.0,0.8,439352.0,442678.0,439611.0
Cicada,4,0.6,8.0,10.0,8192000.0,0.8,1107576.0,1133701.0,1122097.0
Silo,16,0.0,32.0,1.0,512000.0,0.0,19194820.0,17596204.0,15777702.0
Silo,16,1.0,1000.0,10.0,128000.0,0.99,4607350.0,3726296.0,3794121.0
Cicada,28,1.0,1000.0,10.0,512000.0,0.8,5162259.0,5198054.0,5149831.0
Cicada,1,1.0,8.0,100.0,128000.0,0.99,124498.0,118090.0,117982.0
Cicada,1,0.6,8.0,1.0,512000.0,0.4,1896188.0,1865111.0,1968108.0
FOEDUS,16,0.0,100.0,1.0,128000.0,0.0,17228707.375099126,16962354.185837634,17726732.39034148
TicToc,16,0.2,8.0,1.0,512000.0,0.99,22215629.0,22118748.0,20881549.0
Cicada,16,0.0,8.0,10.0,8192000.0,0.0,3124053.0,3115388.0,3125786.0
TicToc,28,0.2,128.0,1.0,2048000.0,0.99,24483992.0,24516933.0,24435000.0
Silo,1,1.0,32.0,100.0,512000.0,0.8,46595.0,42895.0,42173.0
Cicada,4,0.2,8.0,1.0,32768000.0,0.8,6176728.0,6378654.0,6081234.0
2PL,28,1.0,128.0,100.0,128000.0,0.0,482193.0,486811.0,489129.0
Cicada,28,1.0,32.0,10.0,8192000.0,0.8,8873017.0,8746158.0,8979430.0
Hekaton,28,0.6,32.0,10.0,128000.0,0.0,3332775.0,3762171.0,3716576.0
Cicada,16,0.2,32.0,1.0,512000.0,0.0,20866604.0,20748329.0,20814458.0
MOCC,28,1.0,100.0,1.0,512000.0,0.0,41659845.801566,24641523.769324116,24562044.999175563
TicToc,28,0.2,1000.0,10.0,2048000.0,0.8,2368466.0,2360632.0,2356999.0
TicToc,16,0.6,8.0,1.0,128000.0,0.0,30183349.0,30877917.0,29547119.0
2PL,16,0.2,32.0,100.0,128000.0,0.99,36488.0,36144.0,35871.0
TicToc,4,0.6,32.0,100.0,32768000.0,0.4,67551.0,67504.0,66542.0
Silo,4,0.2,128.0,100.0,8192000.0,0.99,38635.0,39070.0,39100.0
TicToc,16,0.6,32.0,1.0,32768000.0,0.99,21569426.0,21834257.0,24155807.0
MOCC,16,0.2,100.0,10.0,2048000.0,0.99,251991.41365735422,250246.08183816753,247859.16412712232
Silo,16,0.0,128.0,10.0,2048000.0,0.4,2372772.0,1952944.0,2004925.0
ERMIA,28,0.2,100.0,10.0,2048000.0,0.0,1507470.0,1523990.0,1535580.0
Hekaton,4,0.0,8.0,10.0,8192000.0,0.0,417844.0,413831.0,416799.0
FOEDUS,28,0.6,100.0,1.0,2048000.0,0.8,32182224.85119598,30239915.91662719,27516517.1570165
2PL,16,1.0,128.0,10.0,512000.0,0.0,2140713.0,2118096.0,2211125.0
Hekaton,16,0.6,1000.0,100.0,512000.0,0.4,119664.0,120832.0,120781.0
MOCC,8,0.0,100.0,10.0,2048000.0,0.99,224441.99690763137,224047.76136195826,185822.49363629994
2PL,1,0.6,128.0,10.0,8192000.0,0.8,166291.0,175967.0,176856.0
