warehouses,threads,cross,servers,tput_1,tput_2,tput_3
32,1,40,2,9.90847,11.118,11.1105
32,1,40,4,16.5343,17.049,17.2676
32,1,40,8,27.9523,28.1234,25.3317
32,1,60,2,9.25011,10.1914,9.89486
32,1,60,4,14.1529,14.761,14.1738
32,1,60,8,22.3922,20.5177,18.4932
32,1,80,2,9.24372,9.37985,9.94878
32,1,80,4,12.5602,12.8665,13.6662
32,1,80,8,21.4124,18.7565,22.2205
32,1,100,2,8.47187,9.2582,10.1899
32,1,100,4,11.5191,12.5949,12.4751
32,1,100,8,18.0697,19.3178,18.797
32,2,0,2,25.3135,18.2867,25.528
32,2,0,4,52.1251,57.7898,62.7651
32,2,0,8,110.782,110.966,96.738
32,2,20,2,19.4565,17.8976,17.9521
32,2,20,4,33.6238,27.9376,32.711
32,2,20,8,46.391,52.7034,50.3454
32,2,40,2,12.3906,15.1496,14.7484
32,2,40,4,27.2292,23.2622,25.1746
32,2,40,8,38.7708,36.7886,36.5647
32,2,60,2,13.8637,15.0498,14.2297
32,2,60,4,21.0737,20.4846,20.1664
32,2,60,8,30.4799,27.3747,30.7014
32,2,80,2,12.2406,12.8518,13.4547
32,2,80,4,19.4544,18.8707,19.2815
32,2,80,8,24.9039,23.8506,24.9455
32,2,100,2,12.9458,14.7786,13.6626
32,2,100,4,16.4692,14.99,17.4821
32,2,100,8,21.3779,21.5252,21.3013
32,4,0,2,34.8362,33.7041,34.4644
32,4,0,4,63.5552,63.7444,57.4471
32,4,0,8,127.718,136.796,125.599
32,4,20,2,27.9491,24.6798,23.5418
32,4,20,4,41.2014,33.9723,38.208
32,4,20,8,55.3326,55.5211,55.8736
32,4,40,2,21.108,23.1501,15.9067
32,4,40,4,27.8416,25.0004,25.5226
32,4,40,8,43.8506,40.2078,40.7016
32,4,60,2,17.8698,14.1456,15.4929
32,4,60,4,22.5319,24.6739,21.5614
32,4,60,8,33.0364,32.8415,33.622
32,4,80,2,14.4036,13.8612,14.2722
32,4,80,4,20.7732,18.265,19.2569
32,4,80,8,28.4161,27.8161,27.4973
32,4,100,2,13.6726,13.4055,14.2155
32,4,100,4,19.4325,17.8106,18.8853
32,4,100,8,23.8295,24.1331,23.496
32,8,0,2,39.6418,38.0333,41.624
32,8,0,4,101.719,68.3011,74.1616
32,8,0,8,130.24,148.438,138.243
32,8,20,2,25.0271,28.1176,23.3878
32,8,20,4,42.137,27.4193,37.2184
32,8,20,8,56.5241,56.3177,58.345
32,8,40,2,24.3889,24.9743,19.1843
32,8,40,4,40.4005,24.1843,24.5893
32,8,40,8,43.7901,42.7526,42.8771
32,8,60,2,17.5749,12.7793,14.9058
32,8,60,4,28.5529,21.9933,20.0841
32,8,60,8,33.3065,34.2864,33.4674
32,8,80,2,18.1028,14.0772,14.1703
32,8,80,4,23.9669,22.907,20.7523
32,8,80,8,27.2798,28.9165,27.736
32,8,100,2,14.7199,13.1619,13.9324
32,8,100,4,24.6797,18.7448,18.3596
32,8,100,8,24.8111,24.2531,26.2104
32,16,0,2,36.4729,35.9206,32.4781
32,16,0,4,66.0251,59.589,60.7359
32,16,0,8,121.92,126.112,125.293
32,16,20,2,23.3745,29.2249,25.3856
32,16,20,4,22.8978,37.1097,35.6085
32,16,20,8,54.4628,53.5972,54.2839
32,16,40,2,23.7755,21.9197,21.9827
32,16,40,4,23.6283,25.2266,30.5392
32,16,40,8,43.8686,43.9126,45.3731
32,16,60,2,13.1789,20.2837,20.2714
32,16,60,4,24.8026,22.9987,20.2514
32,16,60,8,35.0752,34.7928,33.8199
32,16,80,2,12.9322,11.499,14.1326
32,16,80,4,20.4746,18.957,18.3197
32,16,80,8,27.157,28.444,27.2081
32,16,100,2,10.6146,11.4238,11.3752
32,16,100,4,16.9247,17.6333,16.9416
32,16,100,8,25.1117,23.2984,22.6825
64,1,0,2,9.76524,9.86956,10.4119
64,1,0,4,19.3207,24.4008,18.6258
64,1,0,8,57.8144,59.5306,38.9995
64,1,20,2,8.28536,9.17543,9.54119
64,1,20,4,10.1314,11.6971,14.3074
64,1,20,8,34.707,27.6766,25.3179
64,1,40,2,7.79051,7.82198,8.09734
64,1,40,4,11.3141,9.26648,12.1984
64,1,40,8,23.9402,20.1647,25.7877
64,1,60,2,7.37024,7.21033,8.17089
64,1,60,4,10.4406,10.0322,10.0864
64,1,60,8,22.3895,18.8408,19.7073
64,1,80,2,7.26476,7.1238,7.63007
64,1,80,4,8.32472,9.05407,9.99558
64,1,80,8,16.6346,20.263,15.9145
64,1,100,2,7.77676,6.97017,7.24412
64,1,100,4,8.40785,7.06176,9.02232
64,1,100,8,13.6632,17.3635,16.5958
64,2,0,2,14.6156,18.8358,21.4365
