alg,nnodes,WH,dist,tput_1,tput_2,tput_3
Calvin,4,4,60,27631.20832114171,50203.14197512909,50196.878427954674
Calvin,4,4,70,171.95180722891567,177.57112177280553,-1.0
Calvin,4,4,80,-1.0,25199.844447599924,-1.0
Calvin,4,4,90,-1.0,43166.39804268502,0.0
Calvin,4,4,100,42646.948278141135,141.0,-1.0
Calvin,4,8,0,76497.79203613369,76534.35464987956,76507.55996221019
Calvin,4,8,10,70918.70454838152,71036.2572962963,71509.0563148148
Calvin,4,8,20,70425.90731418371,70571.58934906655,70337.64419858476
Calvin,4,8,30,63882.97027978163,67126.27521342969,67449.08658370972
Calvin,4,8,40,64529.113388851256,66864.28254712437,66428.78112149955
Calvin,4,8,50,61860.049573772965,62688.895209695875,64241.44219918699
Calvin,4,8,60,60933.89452529359,61218.02854682325,60090.41236144987
Calvin,4,8,70,59494.8706870822,57911.83477024992,58207.45329930744
Calvin,4,8,80,57018.10741312857,54162.72170439736,55970.44826234567
Calvin,4,8,90,54585.55478244505,53075.46093702951,54521.48294334915
Calvin,4,8,100,52890.56354531767,49139.9692899729,52357.0353561879
Calvin,4,16,0,77823.96078771929,78091.1190027341,78136.99211060606
Calvin,4,16,10,74373.32537055897,72158.99886722487,74736.01188202323
Calvin,4,16,20,74356.45355644224,71132.23231885963,71982.7810393421
Calvin,4,16,30,66126.22217105264,68649.83970175439,69048.51487939559
Calvin,4,16,40,66275.78368421053,71404.49731506238,65803.27161157438
Calvin,4,16,50,64676.361619053314,64838.42164655958,65443.158176354525
Calvin,4,16,60,65277.08163157895,64733.17166165413,64790.23558800411
Calvin,4,16,70,64337.980944963085,62481.92143779904,62960.59504618934
Calvin,4,16,80,61671.06385218729,62851.633947039474,56952.31878090573
Calvin,4,16,90,60004.83637306782,60224.26615567327,61199.08405639098
Calvin,4,16,100,58035.67639411028,58108.692951708814,59393.182622112094
Calvin,4,32,0,49951.537645687655,79344.46085432278,79213.43308022823
Calvin,4,32,10,77603.3885639982,77430.95174953381,78985.54014361757
Calvin,4,32,20,72547.37591107399,74980.42467583684,75628.47245142469
Calvin,4,32,30,70538.380917486,71135.46118498416,71308.57182467615
Calvin,4,32,40,65676.1901418415,67980.04705594406,68971.20969593254
Calvin,4,32,50,67185.29636060607,63547.03092409091,64403.38346834011
Calvin,4,32,60,64391.43055477856,60697.39280547073,63511.2104262777
Calvin,4,32,70,57602.03652483311,60973.23945832811,59353.87207575758
Calvin,4,32,80,65091.15293764474,65302.26861917517,58124.50824962704
Calvin,4,32,90,54695.24099630682,55331.54682225237,62927.5693692029
Calvin,4,32,100,60782.40056094276,53706.28269399158,54906.564469289915
Calvin,4,64,0,79358.44292270532,79607.41078743961,79290.35982125605
Calvin,4,64,10,880.4184210526315,62727.18072222223,79313.41299275361
Calvin,4,64,20,78832.12490816519,79042.16784469112,78702.52357852437
Calvin,4,64,30,78593.40877053139,78921.54946376813,78712.51364251207
Calvin,4,64,40,73667.84755555555,74956.87052270531,76892.13242635419
Calvin,4,64,50,67589.98360656566,72700.04259903383,73107.58242621871
Calvin,4,64,60,66893.76399710146,68215.87381159421,65566.53268554313
Calvin,4,64,70,64252.95775797102,64850.86071014492,66025.78784760869
Calvin,4,64,80,64498.709775757576,59701.75703574879,63937.23649903382
Calvin,4,64,90,58032.50349468599,56150.41338535354,60104.59109178744
Calvin,4,64,100,57770.22520782361,58123.795413043474,59074.75771449275
Calvin,4,128,0,72405.80666666667,81413.48833333334,80141.03166666668
