keys,ReadRatio,nShard,nrep,nclients,tput_1,tput_2,tput_3
0.128,1.0,2,5,5,12320.27794547045,11573.806161894401,9858.14134603062
0.128,1.0,3,3,10,27718.491005349668,26656.714826464788,28684.52756583099
0.128,1.0,3,3,15,37573.8333208086,37556.899271388866,38119.54408569359
0.128,1.0,3,3,20,44424.7001332741,47089.84742889433,47052.18086858326
0.128,1.0,3,3,25,51033.42689461597,56465.273856578206,55138.95015438906
0.128,1.0,3,3,5,11825.22320108792,12006.675711695703,12827.58443757456
0.512,0.2,1,3,10,13879.250520471895,12190.513342516853,13182.699025798542
0.512,0.2,1,3,15,19349.651702786377,16911.433934822682,16193.907790966949
0.512,0.2,1,3,20,21758.997345402324,19197.1741759613,15052.080197483292
0.512,0.2,1,3,25,20770.58884619379,20760.239988374266,18722.38448288774
0.512,0.2,1,3,5,10681.706509431946,9802.672208444023,10212.209717938767
0.512,0.2,1,5,10,13219.294882810951,12033.839155705844,12764.056417129364
0.512,0.2,1,5,15,17933.50190993705,16969.691827314688,17748.571225728585
0.512,0.2,1,5,20,21660.493426040244,16344.943691668983,20929.69714728228
0.512,0.2,1,5,25,19980.81841432225,14995.42639494954,15462.881353311375
0.512,0.2,1,5,5,9186.87012521704,10099.479876786345,9666.505558240697
0.512,0.2,1,7,10,12522.697389017594,10895.145123333043,14213.226828886962
0.512,0.2,1,7,15,18104.93726576503,16188.926663428849,18297.743865620025
0.512,0.2,1,7,20,20398.17232375979,18746.25074985003,19203.072491598658
0.512,0.2,1,7,25,20571.47559194421,19030.58214550783,18724.137285374578
0.512,0.2,1,7,5,9249.752569118777,8905.512512245079,8973.438621679828
0.512,0.2,2,3,10,22904.784809546712,21306.515532449823,23143.326621768614
0.512,0.2,2,3,15,28064.380332285586,31585.281111813012,32812.37695235595
0.512,0.2,2,3,20,32689.35307770259,36512.34117131591,35882.16297678424
0.512,0.2,2,3,25,36581.79689786362,37884.52795878163,35684.97305784534
0.512,0.2,2,3,5,10566.80333065641,9832.2616168171,10790.745856353591
0.512,0.2,2,5,10,18681.811388432223,19460.932178651357,16014.861791742736
0.512,0.2,2,5,15,24184.72477507981,27272.206616303487,27352.772231187944
0.512,0.2,2,5,20,29384.10907381288,33402.36488743403,33397.90261171598
0.512,0.2,2,5,25,33535.66517991884,36206.95897751548,36141.53023239004
0.512,0.2,2,5,5,9145.3655859893,8991.269477337506,8951.109042410355
0.512,0.2,3,3,10,24463.03635207202,25122.472051249842,25447.882736156353
0.512,0.2,3,3,15,33174.86646982716,33792.57907542579,33494.89197789315
0.512,0.2,3,3,20,38648.83667001623,41659.723379436764,41481.72729912474
0.512,0.2,3,3,25,43177.892918825564,47966.231772831925,47764.61597248758
0.512,0.2,3,3,5,10721.216214767403,10845.045982994969,10066.235831773067
0.512,0.6,1,3,10,15697.601406505086,13065.746838089266,13264.182727381252
0.512,0.6,1,3,15,21704.94009376628,19218.011300303646,17616.312868845238
0.512,0.6,1,3,20,23081.89456190564,14712.806026365348,16760.244699572613
0.512,0.6,1,3,25,23572.674555655085,21892.377074302727,21187.338446544345
0.512,0.6,1,3,5,10173.56094980365,10267.889230010987,10777.836457109599
0.512,0.6,1,5,10,13897.38173328145,15936.001019904064,14995.876134063132
0.512,0.6,1,5,15,19273.94329549178,16836.832623373124,18927.37493611947
0.512,0.6,1,5,20,21905.325184552366,22650.569661826994,22441.65170556553
0.512,0.6,1,5,25,22285.11577117643,21690.562436283974,18921.83390414199
0.512,0.6,1,5,5,10335.169548456442,9726.018070941576,10266.518828795532
0.512,0.6,1,7,10,12871.503777786358,17064.55521236839,12189.17601170161
0.512,0.6,1,7,15,18811.65581850333,16248.639162861738,19032.202809181228
0.512,0.6,1,7,20,21835.0146294598,22327.40912744485,21343.806027490824
0.512,0.6,1,7,25,22338.381807621856,22327.40912744485,22330.899265313416
0.512,0.6,1,7,5,9138.846494795427,9321.054397673464,10558.770114457067
0.512,0.6,2,3,10,23991.171248980376,23267.17699341539,25007.502250675203
0.512,0.6,2,3,15,29072.01209407797,34614.905327287204,34253.271220113726
0.512,0.6,2,3,20,34292.37680463633,38990.91511677779,37911.817113394245
0.512,0.6,2,3,25,39207.99843168006,38699.69040247678,39477.32027949943
0.512,0.6,2,3,5,10820.402951805925,11405.369648030293,11298.541358310642
0.512,0.6,2,5,10,18316.36017290644,16351.357980280261,18991.90944657576
0.512,0.6,2,5,15,24797.649159351287,28718.839747271682,28725.43950361944
0.512,0.6,2,5,20,30433.06247907727,35380.69629210303,35334.44047913501
0.512,0.6,2,5,25,35946.655163737014,40024.014408645184,39815.25720656155
0.512,0.6,2,5,5,10981.408475451062,10886.24957815783,9322.010198279157
0.512,0.6,3,3,10,26043.023074118442,26124.66691049689,26524.495371475557
0.512,0.6,3,3,15,34830.72100313479,35285.46224417784,35135.44850848529
0.512,0.6,3,3,20,40324.20662123473,43761.76097326157,42898.20256531252
0.512,0.6,3,3,25,45726.8279299465,51559.68032998195,50015.004501350406
0.512,0.6,3,3,5,11267.351721651343,11777.869383428539,11252.897621137443
0.512,0.0,1,3,10,13625.277615031406,16698.39361453428,12969.15933909164
0.512,0.0,1,3,15,19917.342203278426,19006.88055956816,18797.864541233528
0.512,0.0,1,3,20,21024.746126190526,20213.86266701704,18771.58732542424
0.512,0.0,1,3,25,19591.708788840562,19695.50745474957,18941.1876124633
0.512,0.0,1,3,5,9741.746305442713,9380.511050242018,9735.581603645001
0.512,0.0,1,5,10,13047.335734043108,11676.241184437906,14606.856458421584
0.512,0.0,1,5,15,18566.813345958893,15297.618137037434,18267.326732673268
0.512,0.0,1,5,20,20167.79606324621,15856.655831285181,14733.182072664054
0.512,0.0,1,5,25,19825.535289452815,18407.39240879137,16954.8999660902
0.512,0.0,1,5,5,9792.784676250538,8944.303820112162,10292.936986639768
0.512,0.0,1,7,10,12636.473918317832,14029.771174432144,14197.890193517243
0.512,0.0,1,7,15,16852.154569507406,15677.264603518013,16220.96418375292
0.512,0.0,1,7,20,19867.68124292214,19559.902200489,17652.562269413404
0.512,0.0,1,7,25,19881.901505059945,18800.526414739612,18282.538347624184
0.512,0.0,1,7,5,8576.25577825233,9394.258229370209,8875.319511502414
0.512,0.0,2,3,10,21724.961981316534,21090.372245070124,23392.36005520597
0.512,0.0,2,3,15,27752.060611106484,31932.239110997572,31923.064644852355
0.512,0.0,2,3,20,32009.218654972632,34921.07836289985,34792.29002852968
0.512,0.0,2,3,25,36185.996019540435,35829.45180938732,35793.54284487078
0.512,0.0,2,3,5,10640.448601313032,9897.854145221316,10634.790654145972
