WH,terminal,num_chunk,chunk_size,tput_1,tput_2,tput_3
1,16,8,8192,393.5665678748987,408.0993998966341,408.147464064164
1,1,1,1024,82.78195507724746,84.41570813192854,84.9325513848125
1,1,1,2048,83.3499584986665,86.466436232173,83.46650912780402
1,1,1,4096,80.9488595897678,84.21561744253566,83.69895397511266
1,1,1,8192,83.48310414299338,83.38294430047868,85.19885582906555
1,1,2,1024,83.09990112912264,84.0992208725798,84.51581024260673
1,1,2,2048,81.76533561421923,84.89858982451818,86.26528893667685
1,1,2,4096,81.7661214174626,82.64936871447934,86.88316001590962
1,1,2,8192,84.16588995016785,81.43186532445279,82.4994289747024
1,1,4,1024,85.19859176951637,84.68304065886512,87.69941105460505
1,1,4,2048,82.39869213637225,91.74834366409355,85.09881727819939
1,1,4,4096,83.83202060073674,82.79953903702628,84.18266646911654
1,1,4,8192,79.91638119336558,80.93328683446227,85.79989058511953
1,1,8,1024,83.89849884890596,80.66662302064583,82.4151878524906
1,1,8,2048,85.14860899103637,83.43198803007074,83.5661694604933
1,1,8,4096,79.41564301623491,81.18188254002865,83.64936869542615
1,1,8,8192,81.71592589545523,80.36661970041412,82.46547516012554
1,256,1,1024,326.5442991787401,337.81284130783297,319.7280650247995
1,256,1,2048,329.2828381468252,340.2297641870151,329.86546413661944
1,256,1,4096,336.5151871327778,319.24920830453,323.3160657568154
1,256,1,8192,319.21275747551414,328.98192635987976,325.4632230053967
1,256,2,1024,330.51106674605205,322.36636141795907,332.6127282658738
1,256,2,2048,325.34900364578874,334.3791907206855,328.1323556301665
1,256,2,4096,327.46182184172403,333.8804149847901,326.48260117433466
1,256,2,8192,319.6995552126655,329.8287959005767,321.9614779945136
1,256,4,1024,326.2283272345977,329.7309738059623,325.8314403721363
1,256,4,2048,333.29657032274196,332.06447061363434,322.3826802236345
1,256,4,4096,335.92853263466156,330.3474536873328,331.0830156205535
1,256,4,8192,315.9998082091831,338.4456398894327,328.93131373892453
1,256,8,1024,332.22790648461216,327.1798107628067,328.4791673634453
1,256,8,2048,328.06561190838556,330.64849739545764,332.5799859157751
1,256,8,4096,315.74872342791116,326.8477633970974,315.09813224006626
1,256,8,8192,325.7953604514404,328.4166491730065,310.96632950660666
1,2,1,1024,175.26402570069538,175.7978405081171,182.71393284903442
1,2,1,2048,172.36489549958273,178.24680948905822,178.73115104980982
1,2,1,4096,179.79958555895863,171.84895301598203,184.81612853446495
1,2,1,8192,171.21512906349292,168.24725673128313,182.1664750184266
1,2,2,1024,176.54769675580565,176.715914501884,189.34736960212044
1,2,2,2048,171.18054732713045,179.61410933893933,180.23190022538643
1,2,2,4096,172.08242083761644,174.5476240170141,183.68109726700496
1,2,2,8192,170.83257999582207,179.3486244857245,187.54843297657794
1,2,4,1024,176.23141678730389,171.18082045024337,175.1666274468588
1,2,4,2048,174.08175948335673,177.4322980188316,180.11368654763555
1,2,4,4096,170.53330449330932,176.0978014659081,176.24975263347218
1,2,4,8192,168.2818182388345,173.16666484264448,171.2157604901327
1,2,8,1024,175.78072433429952,173.14703020522418,177.86556842385673
1,2,8,2048,172.76554075939637,174.5990241253144,178.9160962582963
1,2,8,4096,164.9651143696852,171.0472741165192,173.71500922281118
1,2,8,8192,180.2475802273056,174.18037073134064,175.23092620654364
1,32,1,1024,367.8151608927005,371.06242350601013,385.9776700759692
1,32,1,2048,359.6449260934182,360.02869531767016,381.94405461428573
1,32,1,4096,371.68210442840206,382.6767717022879,372.31049015353335
1,32,1,8192,366.87842269621876,369.6792100484895,381.73323956056305
1,32,2,1024,376.7470300780454,370.2330774405713,387.142905464305
1,32,2,2048,368.460554790368,384.46665494043367,372.2123668321838
1,32,2,4096,368.4432943995899,382.83088539780283,380.32721074982925
1,32,2,8192,365.66289169095484,365.9317791356833,375.865611048098
1,32,4,1024,364.5786861642707,377.6443864735469,367.3438954424111
1,32,4,2048,384.5978754364663,367.14969760327074,362.24707531975054
1,32,4,4096,382.07643772604024,366.6466658741008,372.6935340032243
1,32,4,8192,385.1296020051843,384.46484056119795,357.73040068335723
