alg,WH,Distributed,threads,tput_1,tput_2,tput_3
Aria,256,100,4,15302.6,15305.6,15367.1
Aria,512,0,4,17374.3,17307.7,17337.1
Aria,512,10,4,17419.4,17365.3,17290.2
Aria,512,20,4,17470.0,17250.1,17297.6
Aria,512,30,4,17337.1,17322.7,17337.2
Aria,512,40,4,17358.9,17393.3,17311.7
Aria,512,50,4,17346.5,17260.3,17248.0
Aria,512,60,4,17350.3,17487.2,17400.8
Aria,512,70,4,17352.5,17360.0,17239.4
Aria,512,80,4,17301.3,17252.5,17401.7
Aria,512,90,4,17341.3,17299.4,17375.4
Aria,512,100,4,17292.4,17348.2,17380.1
Aria,1024,0,4,18618.0,18587.3,18657.4
Aria,1024,10,4,18550.1,18676.5,18594.5
Aria,1024,20,4,18608.8,18690.1,18630.1
Aria,1024,30,4,18607.7,18643.3,18496.4
Aria,1024,40,4,18557.0,18642.6,18623.2
Aria,1024,50,4,18603.1,18650.4,18512.9
Aria,1024,60,4,18553.4,18605.1,18546.4
Aria,1024,70,4,18510.5,18509.3,18667.6
Aria,1024,80,4,18504.7,18542.0,18495.9
Aria,1024,90,4,18545.2,18582.2,18468.9
Aria,1024,100,4,18446.7,18565.2,18508.1
Aria,1,0,8,443.3,436.7,439.6
Aria,1,10,8,435.9,438.7,437.9
Aria,1,20,8,432.6,446.0,435.9
Aria,1,30,8,433.7,443.4,434.3
Aria,1,40,8,439.8,442.1,432.9
Aria,1,50,8,438.2,438.1,432.8
Aria,1,60,8,437.4,438.1,444.9
Aria,1,70,8,440.1,441.7,439.7
Aria,1,80,8,439.6,434.4,435.6
Aria,1,90,8,435.8,440.4,439.0
Aria,1,100,8,434.5,432.8,438.3
Aria,2,0,8,891.9,883.3,872.6
Aria,2,10,8,871.8,874.3,876.5
Aria,2,20,8,878.9,872.2,870.6
Aria,2,30,8,862.7,879.0,880.5
Aria,2,40,8,872.9,877.1,881.0
Aria,2,50,8,871.5,879.0,876.1
Aria,2,60,8,873.7,877.2,878.5
Aria,2,70,8,869.8,868.2,877.1
Aria,2,80,8,859.6,860.9,877.4
Aria,2,90,8,870.5,868.8,871.1
Aria,2,100,8,870.2,870.1,867.6
Aria,4,0,8,1727.0,1737.9,1750.9
Aria,4,10,8,1746.5,1762.2,1737.2
Aria,4,20,8,1752.7,1747.7,1748.4
Aria,4,30,8,1738.3,1757.9,1729.6
Aria,4,40,8,1732.3,1745.1,1738.2
Aria,4,50,8,1748.1,1740.2,1746.3
Aria,4,60,8,1748.3,1739.6,1725.4
Aria,4,70,8,1748.9,1731.7,1737.0
Aria,4,80,8,1745.9,1752.8,1743.5
