alg,trans,threads,warehouse,remote,tput_1,tput_2,tput_3
PartitionedStore,new_order,1,8,100,78331.95,78460.3,77818.95
PartitionedStore,new_order,1,16,0,78810.55,78656.7,78210.2
PartitionedStore,new_order,1,16,10,76658.8,77034.45,76294.59
PartitionedStore,new_order,1,16,20,75602.35,76320.2,75571.4
PartitionedStore,new_order,1,16,30,74659.85,75183.9,75071.4
PartitionedStore,new_order,1,16,40,74787.2,74918.4,74332.2
PartitionedStore,new_order,1,16,50,74194.0,73912.7,72922.3
PartitionedStore,new_order,1,16,60,73698.7,73542.55,72933.9
PartitionedStore,new_order,1,16,70,73552.9,73352.84,73278.75
PartitionedStore,new_order,1,16,80,72673.75,72407.65,73045.65
PartitionedStore,new_order,1,16,90,72832.5,73029.3,73275.91
PartitionedStore,new_order,1,16,100,72616.25,72847.2,73260.2
PartitionedStore,new_order,1,32,0,74332.75,73807.3,72833.9
PartitionedStore,new_order,1,32,10,73137.95,72262.7,71181.0
PartitionedStore,new_order,1,32,20,71008.75,71806.45,70833.7
PartitionedStore,new_order,1,32,30,70315.9,71068.65,70515.45
PartitionedStore,new_order,1,32,40,69294.2,69776.05,70090.15
PartitionedStore,new_order,1,32,50,69200.25,69065.66,69734.95
PartitionedStore,new_order,1,32,60,69272.85,69567.75,68535.1
PartitionedStore,new_order,1,32,70,68959.55,69119.55,68332.55
PartitionedStore,new_order,1,32,80,67385.3,68084.3,68314.8
PartitionedStore,new_order,1,32,90,68177.45,68024.34,67949.8
PartitionedStore,new_order,1,32,100,68655.0,68210.9,68356.84
PartitionedStore,new_order,1,64,0,69638.2,70305.7,69925.8
PartitionedStore,new_order,1,64,10,68299.8,67910.9,67839.6
PartitionedStore,new_order,1,64,20,66845.1,67517.4,67743.6
PartitionedStore,new_order,1,64,30,66331.4,66917.9,65881.0
PartitionedStore,new_order,1,64,40,65273.7,64445.8,64388.6
PartitionedStore,new_order,1,64,50,64751.8,64685.8,64675.9
PartitionedStore,new_order,1,64,60,64329.0,63558.1,64520.1
PartitionedStore,new_order,1,64,70,63465.8,64051.7,62931.6
PartitionedStore,new_order,1,64,80,61697.2,62033.3,62399.1
PartitionedStore,new_order,1,64,90,62333.0,63198.4,63243.3
PartitionedStore,new_order,1,64,100,62533.2,62728.6,62102.1
PartitionedStore,new_order,1,128,0,65477.2,65516.9,65825.2
PartitionedStore,new_order,1,128,10,63494.3,63450.8,62620.6
PartitionedStore,new_order,1,128,20,62551.7,63368.9,62343.4
PartitionedStore,new_order,1,128,30,62610.2,60892.7,61354.3
PartitionedStore,new_order,1,128,40,61173.8,60974.1,60497.1
PartitionedStore,new_order,1,128,50,60870.0,59703.1,60073.4
PartitionedStore,new_order,1,128,60,59137.3,59574.4,59809.4
PartitionedStore,new_order,1,128,70,59596.5,59424.7,58619.0
PartitionedStore,new_order,1,128,80,58504.5,58308.7,59025.6
PartitionedStore,new_order,1,128,90,57567.8,58239.0,58517.2
PartitionedStore,new_order,1,128,100,57967.0,58733.7,57723.8
PartitionedStore,new_order,1,256,0,59644.1,60028.5,59467.1
PartitionedStore,new_order,1,256,10,59015.8,58395.1,59261.0
PartitionedStore,new_order,1,256,20,57842.9,58108.5,57235.3
PartitionedStore,new_order,1,256,30,57165.1,57284.8,57481.9
PartitionedStore,new_order,1,256,40,56124.6,56249.5,56017.8
PartitionedStore,new_order,1,256,50,55354.9,54873.8,55542.4
PartitionedStore,new_order,1,256,60,55188.2,54691.1,54221.3
PartitionedStore,new_order,1,256,70,53923.6,54752.8,53876.5
PartitionedStore,new_order,1,256,80,54063.6,54436.8,53235.6
PartitionedStore,new_order,1,256,90,53860.6,53807.2,53506.5
PartitionedStore,new_order,1,256,100,53022.4,52986.6,52845.6
PartitionedStore,new_order,1,512,0,54758.4,55281.5,55003.7
PartitionedStore,new_order,1,512,10,53878.0,53183.5,53507.2
PartitionedStore,new_order,1,512,20,52164.3,53185.7,53175.5
PartitionedStore,new_order,1,512,30,51678.8,51653.7,51620.7
PartitionedStore,new_order,1,512,40,51577.8,51472.4,51538.9
PartitionedStore,new_order,1,512,50,50707.9,49818.2,50250.3
PartitionedStore,new_order,1,512,60,49678.5,50201.0,50345.4
PartitionedStore,new_order,1,512,70,49590.9,49659.6,49695.5
PartitionedStore,new_order,1,512,80,49430.5,49054.3,49309.9
PartitionedStore,new_order,1,512,90,48929.7,48804.9,48638.2
PartitionedStore,new_order,1,512,100,48362.5,48887.9,48425.9
PartitionedStore,new_order,2,1,0,88752.4,89617.9,88469.9
PartitionedStore,new_order,2,1,10,89771.4,89398.2,89150.6
PartitionedStore,new_order,2,1,20,89984.2,87555.6,89331.6
PartitionedStore,new_order,2,1,30,88405.8,89719.0,89012.7
PartitionedStore,new_order,2,1,40,87993.5,88305.0,89903.3
PartitionedStore,new_order,2,1,50,89411.8,88986.2,89179.0
PartitionedStore,new_order,2,1,60,88136.1,88077.3,91030.9
PartitionedStore,new_order,2,1,70,90732.6,88662.5,88938.9
PartitionedStore,new_order,2,1,80,89434.0,89569.4,90170.9
PartitionedStore,new_order,2,1,90,87387.8,89059.6,90749.2
PartitionedStore,new_order,2,1,100,88361.7,89783.0,89289.7
PartitionedStore,new_order,2,2,0,204913.0,204008.5,203526.0
PartitionedStore,new_order,2,2,10,106739.5,101048.75,106248.0
PartitionedStore,new_order,2,2,20,97275.45,97745.5,97270.84
PartitionedStore,new_order,2,2,30,94784.85,96148.8,94358.9
PartitionedStore,new_order,2,2,40,94545.15,95634.35,94638.8
PartitionedStore,new_order,2,2,50,94458.3,94047.85,94501.7
PartitionedStore,new_order,2,2,60,94619.0,95165.85,95510.35
PartitionedStore,new_order,2,2,70,94157.5,95659.66,96362.25
PartitionedStore,new_order,2,2,80,97150.45,96983.05,97131.05
PartitionedStore,new_order,2,2,90,97830.9,98247.75,98102.95
PartitionedStore,new_order,2,2,100,100733.0,101622.5,101395.0
PartitionedStore,new_order,2,4,0,188022.5,187846.5,187297.5
PartitionedStore,new_order,2,4,10,127590.5,128292.0,128175.5
PartitionedStore,new_order,2,4,20,108195.95,109115.6,108780.45
PartitionedStore,new_order,2,4,30,101978.05,101710.1,102218.4
PartitionedStore,new_order,2,4,40,98068.85,98669.55,98317.3
PartitionedStore,new_order,2,4,50,96901.4,98393.05,97169.55
PartitionedStore,new_order,2,4,60,96460.0,96589.05,96079.05
PartitionedStore,new_order,2,4,70,95916.95,96464.15,95960.3
PartitionedStore,new_order,2,4,80,95551.6,95945.4,95695.35
PartitionedStore,new_order,2,4,90,96117.85,96583.95,96415.1
PartitionedStore,new_order,2,4,100,97573.4,96143.45,96759.45
PartitionedStore,new_order,2,8,0,177414.5,176468.0,178472.0
PartitionedStore,new_order,2,8,10,142139.0,141853.0,142664.5
PartitionedStore,new_order,2,8,20,123342.5,123020.0,123177.5
PartitionedStore,new_order,2,8,30,112362.2,112938.5,113176.5
PartitionedStore,new_order,2,8,40,106950.3,107946.65,107014.8
PartitionedStore,new_order,2,8,50,104310.0,105202.2,104324.85
PartitionedStore,new_order,2,8,60,102633.85,103364.1,104198.05
PartitionedStore,new_order,2,8,70,101634.9,102884.0,101533.75
PartitionedStore,new_order,2,8,80,102002.95,102091.15,101335.25
PartitionedStore,new_order,2,8,90,100653.85,102541.7,101341.65
PartitionedStore,new_order,2,8,100,101387.65,102449.85,100902.65
PartitionedStore,new_order,2,16,0,166769.0,166437.0,165761.5
PartitionedStore,new_order,2,16,10,145716.5,145944.5,146487.0
PartitionedStore,new_order,2,16,20,131991.0,132568.0,131461.5
PartitionedStore,new_order,2,16,30,121095.0,121241.0,121043.5
PartitionedStore,new_order,2,16,40,114529.85,113670.3,114353.15
PartitionedStore,new_order,2,16,50,107270.25,109421.15,109050.6
PartitionedStore,new_order,2,16,60,106731.6,106674.05,106295.05
PartitionedStore,new_order,2,16,70,104787.4,105520.35,104068.3
PartitionedStore,new_order,2,16,80,103042.0,103233.3,103371.4
PartitionedStore,new_order,2,16,90,102873.75,102772.95,102493.4
PartitionedStore,new_order,2,16,100,102009.3,102649.05,102528.5
PartitionedStore,new_order,2,32,0,158810.0,157281.0,157169.5
PartitionedStore,new_order,2,32,10,143870.0,145072.0,144849.5
PartitionedStore,new_order,2,32,20,134363.0,134543.5,134729.0
PartitionedStore,new_order,2,32,30,124304.0,125246.5,126011.0
PartitionedStore,new_order,2,32,40,117861.0,119082.0,118936.5
PartitionedStore,new_order,2,32,50,112228.35,112223.4,113348.5
PartitionedStore,new_order,2,32,60,108411.25,108687.95,108651.0
PartitionedStore,new_order,2,32,70,105460.9,107013.3,106760.05
PartitionedStore,new_order,2,32,80,102474.4,104131.65,102788.7
PartitionedStore,new_order,2,32,90,101878.2,101956.35,101301.1
PartitionedStore,new_order,2,32,100,100999.4,101625.05,100558.3
PartitionedStore,new_order,2,64,0,146775.0,146078.0,147739.0
PartitionedStore,new_order,2,64,10,138227.0,138028.0,137640.0
PartitionedStore,new_order,2,64,20,129268.0,127666.0,128546.0
PartitionedStore,new_order,2,64,30,117981.0,117929.0,119076.0
PartitionedStore,new_order,2,64,40,107826.0,109800.0,110143.0
PartitionedStore,new_order,2,64,50,100940.0,100560.0,101203.0
PartitionedStore,new_order,2,64,60,93552.3,93057.8,93233.7
PartitionedStore,new_order,2,64,70,86994.6,86496.7,86727.3
PartitionedStore,new_order,2,64,80,81133.0,80982.2,81902.4
PartitionedStore,new_order,2,64,90,77168.5,78181.1,78457.2
PartitionedStore,new_order,2,64,100,73788.2,73238.6,74557.2
PartitionedStore,new_order,2,128,0,139330.0,139540.0,141065.0
PartitionedStore,new_order,2,128,10,131882.0,132197.0,132127.0
PartitionedStore,new_order,2,128,20,124701.0,126053.0,126143.0
PartitionedStore,new_order,2,128,30,118972.0,119812.0,119340.0
PartitionedStore,new_order,2,128,40,112458.0,112906.0,112662.0
PartitionedStore,new_order,2,128,50,107128.0,106109.0,106262.0
PartitionedStore,new_order,2,128,60,100385.0,99454.8,100841.0
PartitionedStore,new_order,2,128,70,94637.3,94738.0,94852.8
PartitionedStore,new_order,2,128,80,89227.7,88846.2,89552.4
PartitionedStore,new_order,2,128,90,85480.9,84653.6,85018.1
PartitionedStore,new_order,2,128,100,80777.7,81107.1,80471.2
PartitionedStore,new_order,2,256,0,133530.0,131750.0,132169.0
PartitionedStore,new_order,2,256,10,122538.0,124713.0,125332.0
PartitionedStore,new_order,2,256,20,119609.0,120381.0,119917.0
PartitionedStore,new_order,2,256,30,114901.0,115690.0,115581.0
PartitionedStore,new_order,2,256,40,110664.0,111603.0,110866.0
PartitionedStore,new_order,2,256,50,106404.0,106763.0,106775.0
PartitionedStore,new_order,2,256,60,101815.0,101750.0,102402.0
PartitionedStore,new_order,2,256,70,97160.7,99065.5,98028.6
PartitionedStore,new_order,2,256,80,93742.9,95274.6,94296.7
PartitionedStore,new_order,2,256,90,91345.4,90468.4,90637.7
PartitionedStore,new_order,2,256,100,86643.7,85136.4,87374.4
PartitionedStore,new_order,2,512,0,123052.0,119715.0,121451.0
PartitionedStore,new_order,2,512,10,114766.0,114974.0,115386.0
PartitionedStore,new_order,2,512,20,110496.0,109296.0,110644.0
PartitionedStore,new_order,2,512,30,108064.0,106182.0,106595.0
PartitionedStore,new_order,2,512,40,103691.0,103159.0,103475.0
PartitionedStore,new_order,2,512,50,100718.0,99635.5,100695.0
PartitionedStore,new_order,2,512,60,97162.5,95449.8,97132.0
PartitionedStore,new_order,2,512,70,94729.5,93761.7,94119.1
PartitionedStore,new_order,2,512,80,91544.9,90255.8,91579.7
PartitionedStore,new_order,2,512,90,88655.5,87854.0,88452.6
PartitionedStore,new_order,2,512,100,87755.1,85641.9,86868.4
PartitionedStore,new_order,4,1,0,94564.0,94612.0,93650.8
PartitionedStore,new_order,4,1,10,93816.5,90477.6,92875.0
PartitionedStore,new_order,4,1,20,94061.7,94594.3,91095.4
PartitionedStore,new_order,4,1,30,93505.9,94144.2,91847.3
PartitionedStore,new_order,4,1,40,94169.0,93648.9,95549.6
PartitionedStore,new_order,4,1,50,92477.1,91542.4,93198.3
PartitionedStore,new_order,4,1,60,95269.3,94151.9,94618.4
PartitionedStore,new_order,4,1,70,93740.2,92533.0,73113.8
PartitionedStore,new_order,4,1,80,93876.6,91060.8,87133.5
PartitionedStore,new_order,4,1,90,93407.7,92404.0,87006.6
PartitionedStore,new_order,4,1,100,92974.6,90592.4,93001.0
PartitionedStore,new_order,4,2,0,199618.0,200332.0,200157.0
PartitionedStore,new_order,4,2,10,94229.8,94808.5,96956.1
