node,threads,scale_factor,cross_warehouse,tput_1,tput_2,tput_3,tput,tp_1,tp_2,tp_3
4,2,8,100,125498,124767,124257,124840.6667
4,2,16,0,310841,309823,311831,310831.6667
4,2,16,20,234246,233367,233060,233557.6667
4,2,16,40,189468,189602,185647,188239
4,2,16,60,160503,158194,159955,159550.6667
4,2,16,80,139539,136739,139900,138726
4,2,16,100,121415,121017,119167,120533
4,2,32,0,255466,253111,257047,255208
4,2,32,20,200711,198973,200197,199960.3333
4,2,32,40,165397,165494,164463,165118
4,2,32,60,138703,136807,139535,138348.3333
4,2,32,80,121980,119579,120867,120808.6667
4,2,32,100,109028,105868,106236,107044
4,2,128,0,192183,190851,198295,193776.3333
4,2,128,20,156153,159035,157706,157631.3333
4,2,128,40,132119,131954,134951,133008
4,2,128,60,112274,115115,112460,113283
4,2,128,80,99528.3,100193,100611,100110.7667
4,2,128,100,88314.2,87599,85280.8,87064.66667
4,2,256,0,155992,157666,149467,154375
4,2,256,20,131484,127141,134131,130918.6667
4,2,256,40,110498,106068,106067,107544.3333
4,2,256,60,95787.6,95220.7,94694.6,95234.3
4,2,256,80,88598.2,85260.9,84411.9,86090.33333
4,2,256,100,76187.9,78211.8,75514.8,76638.16667
4,4,1,0,426983,438432,421475,428963.3333
4,4,1,20,362960,353861,358348,358389.6667
4,4,1,40,298200,298125,289601,295308.6667
4,4,1,60,254111,242697,251138,249315.3333
4,4,1,80,220940,221330,213825,218698.3333
4,4,1,100,200340,204233,198593,201055.3333
4,4,2,0,756819,740213,735913,744315
4,4,2,20,512488,528929,519976,520464.3333
4,4,2,40,393772,404913,407588,402091
4,4,2,60,335577,323615,331485,330225.6667
4,4,2,80,281324,280536,281377,281079
4,4,2,100,247965,238385,244268,243539.3333
4,4,4,0,983507,994159,997635,991767
4,4,4,20,647038,649070,650147,648751.6667
4,4,4,40,479474,490449,474732,481551.6667
4,4,4,60,378708,386384,385119,383403.6667
4,4,4,80,318764,315766,315656,316728.6667
4,4,4,100,271600,274492,275266,273786
4,4,8,0,858065,860242,863427,860578
4,4,8,20,585544,586273,572440,581419
4,4,8,40,443706,419012,432041,431586.3333
4,4,8,60,358613,352804,360212,357209.6667
4,4,8,80,283475,298428,300354,294085.6667
4,4,8,100,253189,264183,254224,257198.6667
4,4,16,0,733864,727048,741557,734156.3333
4,4,16,20,500806,484939,498876,494873.6667
4,4,16,40,377029,379726,374860,377205
4,4,16,60,299109,304410,302988,302169
4,4,16,80,242996,259724,255216,252645.3333
4,4,16,100,223928,220255,225872,223351.6667
4,4,32,0,586707,585810,585247,585921.3333
4,4,32,20,394839,418079,411300,408072.6667
4,4,32,40,320122,325941,321661,322574.6667
4,4,32,60,264748,269208,263251,265735.6667
4,4,32,80,221703,225682,225632,224339
4,4,32,100,197892,191167,195361,194806.6667
4,4,128,0,427498,409923,424558,420659.6667
4,4,128,20,322537,314104,303022,313221
4,4,128,40,254532,253730,256764,255008.6667
4,4,128,60,207556,208178,210255,208663
4,4,128,80,179681,179038,180518,179745.6667
4,4,128,100,155835,155149,154743,155242.3333
4,4,256,0,343387,340110,319523,334340
4,4,256,20,251678,246651,255110,251146.3333
4,4,256,40,219198,214175,207036,213469.6667
4,4,256,60,179686,172942,187438,180022
4,4,256,80,152665,151448,157281,153798
4,4,256,100,140751,137924,140310,139661.6667
4,8,1,0,380187,374459,371211,375285.6667
4,8,1,20,368687,360460,360221,363122.6667
4,8,1,40,340719,337590,339066,339125
4,8,1,60,308817,311170,313496,311161
4,8,1,80,290102,294349,285976,290142.3333
4,8,1,100,276545,280898,278267,278570
4,8,2,0,787695,815824,805736,803085
4,8,2,20,655659,630568,642732,642986.3333
4,8,2,40,560695,548161,549547,552801
4,8,2,60,472585,476997,478771,476117.6667
4,8,2,80,413197,416930,424955,418360.6667
4,8,2,100,388961,384657,387536,387051.3333
4,8,4,0,1.42E+06,1.40E+06,1.42E+06,1.41E+06
4,8,4,20,976641,975098,949879,967206
4,8,4,40,752796,763679,747017,754497.3333
4,8,4,60,626529,631330,619223,625694
4,8,4,80,535843,527895,514252,525996.6667
4,8,4,100,458292,464863,464225,462460
4,8,8,0,1.76E+06,1.77E+06,1.74E+06,1.76E+06
4,8,8,20,1.14E+06,1.16E+06,1.15E+06,1.15E+06
4,8,8,40,855152,846652,842061,847955
4,8,8,60,689546,704724,687038,693769.3333
4,8,8,80,574192,575909,569634,573245
4,8,8,100,489779,495197,497210,494062
4,8,16,0,1.61E+06,1.61E+06,1.67E+06,1.63E+06
4,8,16,20,1.14E+06,1.14E+06,1.15E+06,1.15E+06
4,8,16,40,871099,887685,865243,874675.6667
