alg,bench,thread_count,warehouse_count,tput_1,tput_2,tput_3
MOCC,TPCC-FULL,28,256.0,1823627.0637293628,,
TicToc,TPCC-FULL,28,8.0,800673.0,326813.0,378484.0
2PL,TPCC-FULL,1,2.0,64757.0,58325.0,58517.0
TicToc,TPCC-FULL,28,64.0,1560765.0,1553038.0,1568466.0
Silo,TPCC-FULL,1,256.0,56728.0,56781.0,57387.0
2PL,TPCC-FULL,28,64.0,1142727.0,1139882.0,1142864.0
Hekaton,TPCC,16,128.0,1733129.0,1739276.0,1711552.0
Hekaton,TPCC-FULL,1,256.0,46648.0,46501.0,46671.0
Cicada,TPCC-FULL,1,4.0,81834.0,84816.0,85757.0
Silo,TPCC-FULL,28,8.0,775993.0,769561.0,772331.0
Cicada,TPCC,1,2.0,305164.0,308307.0,307248.0
2PL,TPCC-FULL,4,4.0,230312.0,242313.0,237633.0
FOEDUS,TPCC-FULL,16,64.0,1205032.5496745033,1198430.865691343,1209751.402485975
TicToc,TPCC,28,128.0,4348693.0,4378952.0,4333479.0
FOEDUS,TPCC-FULL,4,2.0,190360.9963900361,189016.30983690164,191064.13935860642
MOCC,TPCC-FULL,28,1.0,85823.57088214559,83336.4833175834,83225.53387233063
Cicada,TPCC-FULL,4,1.0,179359.0,186480.0,186984.0
MOCC,TPCC-FULL,4,64.0,351267.5436622817,348081.00959495205,350228.5488572557
Silo,TPCC,28,32.0,5017715.0,4996828.0,4976994.0
Silo,TPCC,1,32.0,183684.0,183596.0,183390.0
FOEDUS,TPCC-FULL,28,16.0,1211006.2949685252,1221560.984390156,1200850.9914900851
Hekaton,TPCC,4,256.0,466937.0,466659.0,460399.0
Silo,TPCC,4,256.0,675174.0,661094.0,679149.0
TicToc,TPCC,16,16.0,2895501.0,2880575.0,2885121.0
Silo,TPCC,16,128.0,2659344.0,2685181.0,2661091.0
Silo,TPCC,4,4.0,1011771.0,992795.0,1023149.0
2PL,TPCC,28,8.0,1202655.0,1209982.0,1201570.0
ERMIA,TPCC-FULL,2,4.0,101397.0,106060.0,106056.0
2PL,TPCC,1,4.0,185950.0,186247.0,180050.0
TicToc,TPCC,28,256.0,4231274.0,4235027.0,4246525.0
TicToc,TPCC,28,8.0,3649201.0,3672844.0,3638998.0
ERMIA,TPCC-FULL,1,4.0,57194.2,56949.5,56708.2
ERMIA,TPCC-FULL,8,8.0,314940.0,317712.0,347372.0
Silo,TPCC,16,8.0,2717141.0,2704688.0,2717423.0
TicToc,TPCC,16,64.0,2600889.0,2594170.0,2604361.0
MOCC,TPCC-FULL,28,16.0,1204143.7292813535,1218247.7675223248,1201873.6312636873
TicToc,TPCC-FULL,16,4.0,414278.0,415890.0,414846.0
Silo,TPCC,28,256.0,4488286.0,4505702.0,4532280.0
ERMIA,TPCC-FULL,28,8.0,797276.0,779486.0,780495.0
FOEDUS,TPCC-FULL,16,2.0,190060.8993910061,189585.65207173963,191985.64007179963
Cicada,TPCC-FULL,4,2.0,295074.0,288760.0,295447.0
TicToc,TPCC,1,32.0,176242.0,175960.0,179024.0
Silo,TPCC-FULL,1,1.0,93774.0,89966.0,92514.0
Silo,TPCC,16,64.0,2757998.0,2800259.0,2799061.0
FOEDUS,TPCC-FULL,8,32.0,634152.2584774152,545957.2404275957,570362.9981850091
Hekaton,TPCC-FULL,28,16.0,1026998.0,1022340.0,1021112.0
2PL,TPCC,28,16.0,2244747.0,2225224.0,2157221.0
2PL,TPCC,28,128.0,3323131.0,3347864.0,3245274.0
ERMIA,TPCC-FULL,4,16.0,189756.0,163808.0,185761.0
2PL,TPCC-FULL,4,2.0,133533.0,133748.0,134496.0
2PL,TPCC,16,2.0,420560.0,414053.0,413380.0
Cicada,TPCC,16,2.0,2617466.0,2630450.0,2631065.0
Silo,TPCC-FULL,4,64.0,252896.0,255544.0,257934.0
Hekaton,TPCC,4,32.0,492631.0,484920.0,487457.0
2PL,TPCC,1,1.0,200982.0,229317.0,230417.0
Hekaton,TPCC-FULL,16,1.0,99456.0,99911.0,99335.0
2PL,TPCC-FULL,28,128.0,1112678.0,1111636.0,1120764.0
Hekaton,TPCC-FULL,16,64.0,688477.0,689954.0,691335.0
Hekaton,TPCC,28,32.0,2989335.0,3006517.0,2983264.0
Hekaton,TPCC-FULL,1,32.0,50409.0,51090.0,49053.0
ERMIA,TPCC-FULL,8,16.0,349337.0,344720.0,319463.0
Cicada,TPCC-FULL,16,8.0,995290.0,1013511.0,997386.0
Silo,TPCC,4,128.0,682931.0,699180.0,684043.0
2PL,TPCC-FULL,4,8.0,233718.0,231545.0,236221.0
TicToc,TPCC,4,128.0,648557.0,614645.0,651614.0
ERMIA,TPCC-FULL,28,16.0,817167.0,932905.0,918206.0
ERMIA,TPCC-FULL,16,32.0,606263.0,622132.0,626673.0
ERMIA,TPCC-FULL,1,1.0,52833.6,53221.8,52008.8
Cicada,TPCC-FULL,16,1.0,272918.0,276838.0,270095.0
Cicada,TPCC-FULL,16,32.0,1069840.0,1074239.0,1070302.0
Silo,TPCC-FULL,16,4.0,397140.0,397362.0,375300.0
Hekaton,TPCC,4,4.0,620601.0,609231.0,605227.0
Silo,TPCC-FULL,4,2.0,217834.0,221498.0,220146.0
Hekaton,TPCC-FULL,28,1.0,96000.0,96095.0,96120.0
Cicada,TPCC-FULL,28,2.0,637702.0,316066.0,319811.0
2PL,TPCC-FULL,16,32.0,721443.0,731668.0,737940.0
Silo,TPCC-FULL,28,32.0,1755573.0,1746087.0,1761838.0
MOCC,TPCC-FULL,4,2.0,187474.47525524744,183839.0616093839,186743.4162829186
Hekaton,TPCC,28,4.0,843386.0,842342.0,842356.0
Cicada,TPCC,1,8.0,243512.0,254999.0,244126.0
ERMIA,TPCC-FULL,2,1.0,86291.1,90685.0,92778.4
2PL,TPCC-FULL,16,2.0,169439.0,170065.0,170645.0
MOCC,TPCC-FULL,8,128.0,616160.469197654,623467.0153298468,631249.937500625
MOCC,TPCC-FULL,4,256.0,345958.470207649,345140.79859201406,
2PL,TPCC,28,2.0,433722.0,435191.0,435274.0
Cicada,TPCC-FULL,16,4.0,826014.0,826110.0,823236.0
2PL,TPCC,4,16.0,581658.0,613423.0,611960.0
2PL,TPCC,16,256.0,1960467.0,1880989.0,1849008.0
MOCC,TPCC-FULL,28,64.0,1987792.2720772792,1933949.010509895,2013276.0172398277
Hekaton,TPCC,1,1.0,187417.0,194350.0,186381.0
Cicada,TPCC-FULL,1,1.0,97263.0,91348.0,91711.0
2PL,TPCC-FULL,1,1.0,65886.0,66779.0,69673.0
TicToc,TPCC-FULL,28,1.0,47169.0,47889.0,47177.0
2PL,TPCC-FULL,4,32.0,196108.0,203188.0,201532.0
Hekaton,TPCC,4,64.0,477837.0,479404.0,478549.0
2PL,TPCC-FULL,28,4.0,303323.0,278804.0,278306.0
MOCC,TPCC-FULL,8,1.0,95112.39887601124,94167.25832741673,90727.69272307277
TicToc,TPCC,16,8.0,2586402.0,2605549.0,2598566.0
MOCC,TPCC-FULL,8,8.0,639378.4031079845,641423.7357626423,625723.6927630724
Silo,TPCC-FULL,28,16.0,1342025.0,1339126.0,1330601.0
