alg,trans,threads,warehouse,remote,tput
PartitionedStore,new_order,2,256,30,115295.5
PartitionedStore,new_order,2,256,40,111133.5
PartitionedStore,new_order,2,256,50,106583.5
PartitionedStore,new_order,2,256,60,101782.5
PartitionedStore,new_order,2,256,70,98113.1015625
PartitionedStore,new_order,2,256,80,94508.75
PartitionedStore,new_order,2,256,90,90906.8984375
PartitionedStore,new_order,2,256,100,85890.046875
PartitionedStore,new_order,2,512,0,121383.5
PartitionedStore,new_order,2,512,10,114870.0
PartitionedStore,new_order,2,512,20,109896.0
PartitionedStore,new_order,2,512,30,107123.0
PartitionedStore,new_order,2,512,40,103425.0
PartitionedStore,new_order,2,512,50,100176.75
PartitionedStore,new_order,2,512,60,96306.1484375
PartitionedStore,new_order,2,512,70,94245.6015625
PartitionedStore,new_order,2,512,80,90900.34375
PartitionedStore,new_order,2,512,90,88254.75
PartitionedStore,new_order,2,512,100,86698.5
PartitionedStore,new_order,4,1,0,94588.0
PartitionedStore,new_order,4,1,10,92147.046875
PartitionedStore,new_order,4,1,20,94328.0
PartitionedStore,new_order,4,1,30,93825.046875
PartitionedStore,new_order,4,1,40,93908.953125
PartitionedStore,new_order,4,1,50,92009.75
PartitionedStore,new_order,4,1,60,94710.59375
PartitionedStore,new_order,4,1,70,93136.6015625
PartitionedStore,new_order,4,1,80,92468.703125
PartitionedStore,new_order,4,1,90,92905.8515625
PartitionedStore,new_order,4,1,100,91783.5
PartitionedStore,new_order,4,2,0,199990.3359375
PartitionedStore,new_order,4,2,10,95293.20703125
PartitionedStore,new_order,4,2,20,93421.0390625
PartitionedStore,new_order,4,2,30,92685.78515625
PartitionedStore,new_order,4,2,40,91557.68359375
PartitionedStore,new_order,4,2,50,91497.94140625
PartitionedStore,new_order,4,2,60,90552.203125
PartitionedStore,new_order,4,2,70,91863.71875
PartitionedStore,new_order,4,2,80,92487.82421875
PartitionedStore,new_order,4,2,90,93589.796875
PartitionedStore,new_order,4,2,100,95624.875
PartitionedStore,new_order,4,4,0,394104.0
PartitionedStore,new_order,4,4,10,139533.9140625
PartitionedStore,new_order,4,4,20,104354.5
PartitionedStore,new_order,4,4,30,94778.78515625
PartitionedStore,new_order,4,4,40,91246.73046875
PartitionedStore,new_order,4,4,50,89470.98046875
PartitionedStore,new_order,4,4,60,86861.92578125
PartitionedStore,new_order,4,4,70,89376.7734375
PartitionedStore,new_order,4,4,80,86204.68359375
PartitionedStore,new_order,4,4,90,89884.19140625
PartitionedStore,new_order,4,4,100,90580.37109375
PartitionedStore,new_order,4,8,0,362496.0
PartitionedStore,new_order,4,8,10,193405.0
PartitionedStore,new_order,4,8,20,134665.1640625
PartitionedStore,new_order,4,8,30,111537.53125
PartitionedStore,new_order,4,8,40,100778.07421875
PartitionedStore,new_order,4,8,50,91307.3359375
PartitionedStore,new_order,4,8,60,90330.78515625
PartitionedStore,new_order,4,8,70,88656.20703125
PartitionedStore,new_order,4,8,80,86898.4921875
PartitionedStore,new_order,4,8,90,83738.31640625
PartitionedStore,new_order,4,8,100,85640.70703125
PartitionedStore,new_order,4,16,0,337394.25
PartitionedStore,new_order,4,16,10,237752.5
PartitionedStore,new_order,4,16,20,177014.4140625
PartitionedStore,new_order,4,16,30,143448.8359375
PartitionedStore,new_order,4,16,40,126045.6640625
PartitionedStore,new_order,4,16,50,113699.9140625
PartitionedStore,new_order,4,16,60,106635.99609375
PartitionedStore,new_order,4,16,70,102891.0234375
PartitionedStore,new_order,4,16,80,96208.6015625
PartitionedStore,new_order,4,16,90,97277.76953125
PartitionedStore,new_order,4,16,100,96028.05078125
PartitionedStore,new_order,4,32,0,316506.921875
PartitionedStore,new_order,4,32,10,254150.0
PartitionedStore,new_order,4,32,20,212770.6640625
PartitionedStore,new_order,4,32,30,180889.3359375
PartitionedStore,new_order,4,32,40,157043.75
PartitionedStore,new_order,4,32,50,141449.0859375
PartitionedStore,new_order,4,32,60,132401.42578125
PartitionedStore,new_order,4,32,70,124371.42578125
PartitionedStore,new_order,4,32,80,118739.66015625
PartitionedStore,new_order,4,32,90,116662.015625
PartitionedStore,new_order,4,32,100,113659.1484375
PartitionedStore,new_order,4,64,0,296272.5
PartitionedStore,new_order,4,64,10,261047.0
PartitionedStore,new_order,4,64,20,224610.0
PartitionedStore,new_order,4,64,30,187957.0
PartitionedStore,new_order,4,64,40,158197.5
PartitionedStore,new_order,4,64,50,133578.0
PartitionedStore,new_order,4,64,60,116226.0
PartitionedStore,new_order,4,64,70,101885.5
PartitionedStore,new_order,4,64,80,92610.296875
PartitionedStore,new_order,4,64,90,84242.5
PartitionedStore,new_order,4,64,100,79232.59375
PartitionedStore,new_order,4,128,0,278322.0
PartitionedStore,new_order,4,128,10,256852.5
PartitionedStore,new_order,4,128,20,233714.0
PartitionedStore,new_order,4,128,30,206630.0
PartitionedStore,new_order,4,128,40,184733.0
PartitionedStore,new_order,4,128,50,162202.0
PartitionedStore,new_order,4,128,60,145022.5
PartitionedStore,new_order,4,128,70,128667.5
PartitionedStore,new_order,4,128,80,115648.0
PartitionedStore,new_order,4,128,90,105170.5
PartitionedStore,new_order,4,128,100,96008.90625
PartitionedStore,new_order,4,256,0,264411.5
PartitionedStore,new_order,4,256,10,245423.5
PartitionedStore,new_order,4,256,20,231295.0
PartitionedStore,new_order,4,256,30,214464.5
PartitionedStore,new_order,4,256,40,199480.0
PartitionedStore,new_order,4,256,50,182126.5
PartitionedStore,new_order,4,256,60,167471.0
PartitionedStore,new_order,4,256,70,154523.5
PartitionedStore,new_order,4,256,80,142331.5
PartitionedStore,new_order,4,256,90,131077.0
PartitionedStore,new_order,4,256,100,120713.0
PartitionedStore,new_order,4,512,0,243932.5
PartitionedStore,new_order,4,512,10,228375.0
PartitionedStore,new_order,4,512,20,218222.0
PartitionedStore,new_order,4,512,30,207768.0
PartitionedStore,new_order,4,512,40,196963.5
PartitionedStore,new_order,4,512,50,186614.5
PartitionedStore,new_order,4,512,60,176571.5
PartitionedStore,new_order,4,512,70,165387.0
PartitionedStore,new_order,4,512,80,156751.5
PartitionedStore,new_order,4,512,90,148437.0
PartitionedStore,new_order,4,512,100,138815.0
PartitionedStore,new_order,8,1,0,77940.0
PartitionedStore,new_order,8,1,10,74883.8984375
PartitionedStore,new_order,8,1,20,74009.953125
PartitionedStore,new_order,8,1,30,77125.5
PartitionedStore,new_order,8,1,40,84785.1015625
PartitionedStore,new_order,8,1,50,84078.296875
