partition_num,threads,zipf,rw,servers,cross,tput
16,2,0.8,20,2,100,64427.46666666667
16,2,0.8,20,4,0,138414.66666666666
16,2,0.8,20,4,20,129718.33333333333
16,2,0.8,20,4,40,111917.0
16,2,0.8,20,4,60,93515.46666666667
16,2,0.8,20,4,80,79369.96666666666
16,2,0.8,20,4,100,68794.8
16,2,0.8,20,8,0,
16,2,0.8,20,8,20,
16,2,0.8,20,8,40,
16,2,0.8,20,8,60,
16,2,0.8,20,8,80,
16,2,0.8,20,8,100,
16,2,0.8,60,2,0,185074.66666666666
16,2,0.8,60,2,20,159418.66666666666
16,2,0.8,60,2,40,140382.33333333334
16,2,0.8,60,2,60,134873.33333333334
16,2,0.8,60,2,80,123979.33333333333
16,2,0.8,60,2,100,107656.0
16,2,0.8,60,4,0,247562.0
16,2,0.8,60,4,20,229019.0
16,2,0.8,60,4,40,180235.33333333334
16,2,0.8,60,4,60,151759.0
16,2,0.8,60,4,80,128244.0
16,2,0.8,60,4,100,111136.66666666667
16,2,0.8,60,8,0,
16,2,0.8,60,8,20,
16,2,0.8,60,8,40,
16,2,0.8,60,8,60,
16,2,0.8,60,8,80,
16,2,0.8,60,8,100,
16,2,0.8,100,2,0,849874.0
16,2,0.8,100,2,20,602465.3333333334
16,2,0.8,100,2,40,479390.3333333333
16,2,0.8,100,2,60,400820.6666666667
16,2,0.8,100,2,80,349154.3333333333
16,2,0.8,100,2,100,308239.6666666667
16,2,0.8,100,4,0,1624263.3333333333
16,2,0.8,100,4,20,845043.0
16,2,0.8,100,4,40,581423.3333333334
16,2,0.8,100,4,60,441904.0
16,2,0.8,100,4,80,359180.0
16,2,0.8,100,4,100,306553.0
16,2,0.8,100,8,0,
16,2,0.8,100,8,20,
16,2,0.8,100,8,40,
16,2,0.8,100,8,60,
16,2,0.8,100,8,80,
16,2,0.8,100,8,100,
16,2,0.99,0,2,0,95223.2
16,2,0.99,0,2,20,74084.59999999999
16,2,0.99,0,2,40,72206.3
16,2,0.99,0,2,60,63845.86666666666
16,2,0.99,0,2,80,60118.30000000001
16,2,0.99,0,2,100,55617.73333333334
16,2,0.99,0,4,0,113795.33333333333
16,2,0.99,0,4,20,116157.33333333333
16,2,0.99,0,4,40,90869.7
16,2,0.99,0,4,60,80505.03333333334
16,2,0.99,0,4,80,68592.83333333333
16,2,0.99,0,4,100,58706.53333333333
16,2,0.99,0,8,0,
16,2,0.99,0,8,20,
16,2,0.99,0,8,40,
16,2,0.99,0,8,60,
16,2,0.99,0,8,80,
16,2,0.99,0,8,100,
16,2,0.99,20,2,0,109391.66666666667
16,2,0.99,20,2,20,92636.53333333333
16,2,0.99,20,2,40,86375.06666666667
16,2,0.99,20,2,60,86393.6
16,2,0.99,20,2,80,77967.76666666668
16,2,0.99,20,2,100,65648.23333333334
16,2,0.99,20,4,0,145508.66666666666
16,2,0.99,20,4,20,141943.33333333334
16,2,0.99,20,4,40,118605.33333333333
16,2,0.99,20,4,60,96147.93333333333
16,2,0.99,20,4,80,80963.26666666666
16,2,0.99,20,4,100,70410.73333333334
16,2,0.99,20,8,0,
16,2,0.99,20,8,20,
16,2,0.99,20,8,40,
16,2,0.99,20,8,60,
16,2,0.99,20,8,80,
16,2,0.99,20,8,100,
16,2,0.99,60,2,0,196243.33333333334
16,2,0.99,60,2,20,170320.0
16,2,0.99,60,2,40,150906.0
16,2,0.99,60,2,60,143905.0
16,2,0.99,60,2,80,131379.33333333334
16,2,0.99,60,2,100,113007.33333333333
16,2,0.99,60,4,0,263577.0
16,2,0.99,60,4,20,258782.0
16,2,0.99,60,4,40,195413.66666666666
16,2,0.99,60,4,60,159078.66666666666
16,2,0.99,60,4,80,135011.66666666666
16,2,0.99,60,4,100,116372.33333333333
16,2,0.99,60,8,0,
16,2,0.99,60,8,20,
16,2,0.99,60,8,40,
16,2,0.99,60,8,60,
16,2,0.99,60,8,80,
16,2,0.99,60,8,100,
16,2,0.99,100,2,0,996537.3333333334
16,2,0.99,100,2,20,716294.0
16,2,0.99,100,2,40,579731.3333333334
16,2,0.99,100,2,60,484621.3333333333
16,2,0.99,100,2,80,425269.6666666667
16,2,0.99,100,2,100,372324.0
16,2,0.99,100,4,0,1873380.0
16,2,0.99,100,4,20,1012783.3333333334
16,2,0.99,100,4,40,702134.6666666666
16,2,0.99,100,4,60,534978.3333333334
16,2,0.99,100,4,80,436077.6666666667
16,2,0.99,100,4,100,367611.0
16,2,0.99,100,8,0,
16,2,0.99,100,8,20,
16,2,0.99,100,8,40,
16,2,0.99,100,8,60,
16,2,0.99,100,8,80,
16,2,0.99,100,8,100,
16,8,0.0,0,2,0,304139.6666666667
16,8,0.0,0,2,20,250846.0
16,8,0.0,0,2,40,224321.66666666666
16,8,0.0,0,2,60,193449.33333333334
16,8,0.0,0,2,80,174350.33333333334
16,8,0.0,0,2,100,150600.66666666666
16,8,0.0,20,2,0,376509.3333333333
16,8,0.0,20,2,20,293200.6666666667
16,8,0.0,20,2,40,274374.3333333333
16,8,0.0,20,2,60,254057.33333333334
16,8,0.0,20,2,80,251106.0
16,8,0.0,20,2,100,240224.0
16,8,0.0,60,2,0,615700.0
16,8,0.0,60,2,20,513786.3333333333
16,8,0.0,60,2,40,491579.0
16,8,0.0,60,2,60,469935.6666666667
16,8,0.0,60,2,80,456076.6666666667
16,8,0.0,60,2,100,410439.0
16,8,0.0,100,2,0,3028623.3333333335
16,8,0.0,100,2,20,2214613.3333333335
16,8,0.0,100,2,40,1767733.3333333333
16,8,0.0,100,2,60,1480610.0
16,8,0.0,100,2,80,1235510.0
16,8,0.0,100,2,100,1101500.0
16,8,0.4,0,2,0,270619.3333333333
16,8,0.4,0,2,20,228462.33333333334
16,8,0.4,0,2,40,226527.66666666666
16,8,0.4,0,2,60,192005.33333333334
16,8,0.4,0,2,80,174329.33333333334
16,8,0.4,0,2,100,148639.0
16,8,0.4,20,2,0,331818.6666666667
16,8,0.4,20,2,20,279037.0
16,8,0.4,20,2,40,267495.0
16,8,0.4,20,2,60,242631.66666666666
16,8,0.4,20,2,80,240193.66666666666
16,8,0.4,20,2,100,227147.66666666666
16,8,0.4,60,2,0,556124.6666666666
16,8,0.4,60,2,20,484511.3333333333
16,8,0.4,60,2,40,450991.3333333333
16,8,0.4,60,2,60,443127.3333333333
16,8,0.4,60,2,80,415534.6666666667
