keys,ReadRatio,nShard,nrep,nclients,tput
2.048,1.0,3,3,25,53268.237604884205
8.192,0.0,1,3,5,7971.991973868496
8.192,0.0,1,3,10,11722.28423369726
8.192,0.0,1,3,15,17551.454470301556
8.192,0.0,1,3,20,15101.96183975668
8.192,0.0,1,3,25,17613.99492527355
8.192,0.0,1,5,5,7383.235476364607
8.192,0.0,1,5,10,10869.200269332801
8.192,0.0,1,5,15,14447.943280710555
8.192,0.0,1,5,20,18027.643318292783
8.192,0.0,1,5,25,15744.68816978814
8.192,0.0,1,7,5,7969.225438435944
8.192,0.0,1,7,10,11109.856222799828
8.192,0.0,1,7,15,16236.766762773354
8.192,0.0,1,7,20,16069.248794206127
8.192,0.0,1,7,25,16240.053517538954
8.192,0.0,2,3,5,9542.782572727216
8.192,0.0,2,3,10,17172.59433407431
8.192,0.0,2,3,15,22771.42862167954
8.192,0.0,2,3,20,24225.1453623078
8.192,0.0,2,3,25,29567.24998246955
8.192,0.0,2,5,5,8895.61489232745
8.192,0.0,2,5,10,14997.06202842458
8.192,0.0,2,5,15,21566.536911618354
8.192,0.0,2,5,20,29125.75386153553
8.192,0.0,2,5,25,29299.374884667108
8.192,0.0,3,3,5,10375.521087723662
8.192,0.0,3,3,10,24713.477542825265
8.192,0.0,3,3,15,32384.71129477427
8.192,0.0,3,3,20,39571.03547503768
8.192,0.0,3,3,25,44696.51800565482
8.192,0.2,1,3,5,8353.2267887135
8.192,0.2,1,3,10,11784.869050641837
8.192,0.2,1,3,15,15451.841508339969
8.192,0.2,1,3,20,15796.8210801182
8.192,0.2,1,3,25,15889.78718951896
8.192,0.2,1,5,5,8533.57251568229
8.192,0.2,1,5,10,11033.076022092084
8.192,0.2,1,5,15,14947.367789127486
8.192,0.2,1,5,20,16166.660518559414
8.192,0.2,1,5,25,13578.389739647624
8.192,0.2,1,7,5,7993.602493924908
8.192,0.2,1,7,10,19740.519752026405
8.192,0.2,1,7,15,13823.246675866147
8.192,0.2,1,7,20,18618.404611181366
8.192,0.2,1,7,25,18779.234542473834
8.192,0.2,2,3,5,10042.149270076907
8.192,0.2,2,3,10,18981.667431863272
8.192,0.2,2,3,15,22210.03796234057
8.192,0.2,2,3,20,27667.17792524166
8.192,0.2,2,3,25,32066.333880186972
8.192,0.2,2,5,5,8762.42741431585
8.192,0.2,2,5,10,16669.643108606164
