num_keys,value_size,put_percent,zipf,tput
128,512,100,0.0,9302269.068742
128,512,100,0.4,9296620.830202667
128,512,100,0.8,9161339.175586333
128,512,100,0.99,9163926.243848667
128,1024,0,0.0,4316456.733971667
128,1024,0,0.4,4311359.733677001
128,1024,0,0.8,4150029.6781310006
128,1024,0,0.99,4148241.0085956664
128,1024,20,0.0,4985723.989672
128,1024,20,0.4,4987653.772481001
128,1024,20,0.8,4776363.045557
128,1024,20,0.99,4775224.908891334
128,1024,40,0.0,5934214.056342334
128,1024,40,0.4,5641397.604785666
128,1024,40,0.8,5644916.579665333
128,1024,40,0.99,5649066.4999400005
128,1024,60,0.0,7553223.368634333
128,1024,60,0.4,6965664.065309334
128,1024,60,0.8,6964810.500801
128,1024,60,0.99,6958699.682842
128,1024,80,0.0,7120369.546803333
128,1024,80,0.4,7119225.779543333
128,1024,80,0.8,7116467.357875333
128,1024,80,0.99,7118835.489237666
128,1024,100,0.0,5928369.335917334
128,1024,100,0.4,5934619.695978333
128,1024,100,0.8,5934611.211778334
128,1024,100,0.99,5935216.042131335
512,8,0,0.0,21043844.787337333
512,8,0,0.4,20938658.899264336
512,8,0,0.8,21030264.707389
512,8,0,0.99,21047986.687512334
512,8,20,0.0,20845598.414588
512,8,20,0.4,21252677.18621433
512,8,20,0.8,21178258.411342997
512,8,20,0.99,21239919.358741
512,8,40,0.0,20878286.731557336
512,8,40,0.4,20816369.103046335
512,8,40,0.8,20857795.461064
512,8,40,0.99,20872956.564626
512,8,60,0.0,21014277.452570334
512,8,60,0.4,21032647.703104336
512,8,60,0.8,21028957.486749668
512,8,60,0.99,21056646.977446333
512,8,80,0.0,21550623.374569997
512,8,80,0.4,21550092.241078664
512,8,80,0.8,21541297.27393733
512,8,80,0.99,20499194.368474334
512,8,100,0.0,22555696.989472333
512,8,100,0.4,22707987.767955672
512,8,100,0.8,22739078.000212666
512,8,100,0.99,22157810.822145
512,32,0,0.0,20677108.96807133
512,32,0,0.4,20665545.658008333
512,32,0,0.8,20649602.353961334
512,32,0,0.99,20643866.78836
512,32,20,0.0,20432658.677049
512,32,20,0.4,20455590.425525
512,32,20,0.8,20457251.50094733
512,32,20,0.99,20428055.388278
512,32,40,0.0,20109361.282734334
512,32,40,0.4,20140299.434143003
512,32,40,0.8,20100870.804241333
512,32,40,0.99,20148911.128048
512,32,60,0.0,20207844.73940767
512,32,60,0.4,20086297.73321667
512,32,60,0.8,19764209.426582668
512,32,60,0.99,20153690.020698998
512,32,80,0.0,20625127.873677667
512,32,80,0.4,20040008.772918668
512,32,80,0.8,20646603.953005332
512,32,80,0.99,20601503.762911666
512,32,100,0.0,21769860.889285002
512,32,100,0.4,21759833.913902666
512,32,100,0.8,21753344.301145
512,32,100,0.99,21784245.19023567
512,128,0,0.0,13135083.810832001
512,128,0,0.4,13134046.966109
512,128,0,0.8,13132325.673392003
512,128,0,0.99,13133062.468307666
512,128,20,0.0,14453207.641957333
512,128,20,0.4,14451867.728601
512,128,20,0.8,14454942.696777001
512,128,20,0.99,14453613.837279668
512,128,40,0.0,16043525.560084665
512,128,40,0.4,16039537.902499998
512,128,40,0.8,16035979.06171
512,128,40,0.99,16034624.936492667
512,128,60,0.0,17090622.326419998
512,128,60,0.4,17093782.849669665
512,128,60,0.8,16859469.799653668
512,128,60,0.99,17107010.801295336
512,128,80,0.0,17359667.124097664
512,128,80,0.4,17381712.644547
512,128,80,0.8,17383916.228814665
512,128,80,0.99,17334441.045587335
512,128,100,0.0,18407649.339849
512,128,100,0.4,18381270.465355333
512,128,100,0.8,17990335.726213668
512,128,100,0.99,18378713.601968665
512,512,0,0.0,6518537.614057001
512,512,0,0.4,6218473.463275667
512,512,0,0.8,6219511.217131334
512,512,0,0.99,6217440.353805999
512,512,20,0.0,7389387.150863667
512,512,20,0.4,6993248.056675666
512,512,20,0.8,6993149.258939666
512,512,20,0.99,6990184.714062333
512,512,40,0.0,8759910.746562334
512,512,40,0.4,7999707.890785667
512,512,40,0.8,7994687.741632332
512,512,40,0.99,7983615.258313333
512,512,60,0.0,10501153.122780332
512,512,60,0.4,9247919.012216667
512,512,60,0.8,9238560.651010333
512,512,60,0.99,9219746.886873333
512,512,80,0.0,10134604.494507667
512,512,80,0.4,9820669.729774334
512,512,80,0.8,9801800.487059332
512,512,80,0.99,9810765.977325669
512,512,100,0.0,9303740.298311999
512,512,100,0.4,9171228.727303334
512,512,100,0.8,9169342.191676667
512,512,100,0.99,9171950.533829333
512,1024,0,0.0,4306348.817792
512,1024,0,0.4,4148899.6611579997
512,1024,0,0.8,4146303.377034333
512,1024,0,0.99,4150267.104932333
512,1024,20,0.0,4975723.143091333
512,1024,20,0.4,4776907.664994333
512,1024,20,0.8,4775530.926952667
512,1024,20,0.99,4776333.132776667
512,1024,40,0.0,5915366.727355999
512,1024,40,0.4,5634517.559123666
512,1024,40,0.8,5633684.323664666
512,1024,40,0.99,5630705.549239333
512,1024,60,0.0,7546988.126468
512,1024,60,0.4,6953957.0073603345
512,1024,60,0.8,6947555.148863
512,1024,60,0.99,6955057.482664666
512,1024,80,0.0,7128800.070946333
512,1024,80,0.4,7127470.457238668
512,1024,80,0.8,7126062.286508
512,1024,80,0.99,7125223.664127332
512,1024,100,0.0,5934482.793944
512,1024,100,0.4,5936612.175363666
512,1024,100,0.8,5937102.764763333
512,1024,100,0.99,5936136.507072668
2048,8,0,0.0,24131906.94600967
2048,8,0,0.4,24078079.13006434
2048,8,0,0.8,24162223.600651335
2048,8,0,0.99,24135957.58515367
2048,8,20,0.0,23259081.117931336
2048,8,20,0.4,23273855.817448664
2048,8,20,0.8,23224609.164393336
2048,8,20,0.99,23249513.713185
2048,8,40,0.0,22350909.239672333
2048,8,40,0.4,22366119.290067
2048,8,40,0.8,22366105.16885667
2048,8,40,0.99,22370764.125056338
2048,8,60,0.0,22021312.853867333
2048,8,60,0.4,21991847.14025
2048,8,60,0.8,22042008.057331998
2048,8,60,0.99,22058505.457518335
2048,8,80,0.0,21972416.244997
2048,8,80,0.4,22009268.40473633
2048,8,80,0.8,21877371.446456335
2048,8,80,0.99,21875410.344978333
2048,8,100,0.0,22938331.564430665
2048,8,100,0.4,22987626.240615
2048,8,100,0.8,22965259.683653336
2048,8,100,0.99,22965095.345066
2048,32,0,0.0,22388653.046306666
2048,32,0,0.4,23717857.07164
2048,32,0,0.8,24147220.183753
2048,32,0,0.99,24129703.125934336
2048,32,20,0.0,23080027.259501666
2048,32,20,0.4,23085726.804441
2048,32,20,0.8,23092018.561315667
2048,32,20,0.99,23082911.362596
2048,32,40,0.0,22031836.777505334
2048,32,40,0.4,22113892.966355335
2048,32,40,0.8,22071074.930073667
2048,32,40,0.99,22123929.097886335
2048,32,60,0.0,21502129.227096334
2048,32,60,0.4,21571529.728024002
2048,32,60,0.8,21554044.620845664
2048,32,60,0.99,21563654.312714666
2048,32,80,0.0,21311628.938866667
2048,32,80,0.4,21300827.785407666
2048,32,80,0.8,21308266.846585665
2048,32,80,0.99,21355710.394297335
2048,32,100,0.0,21756788.059020333
2048,32,100,0.4,21936925.344247665
2048,32,100,0.8,21925843.77661233
2048,32,100,0.99,21316000.790242
2048,128,0,0.0,13118161.261566333
2048,128,0,0.4,13119943.929217001
2048,128,0,0.8,13123331.516710332
2048,128,0,0.99,13120816.987936003
2048,128,20,0.0,14443768.364080332
2048,128,20,0.4,14449269.601194665
2048,128,20,0.8,14447051.916519
2048,128,20,0.99,14445821.979589999
2048,128,40,0.0,16079017.444188667
2048,128,40,0.4,16082727.653482
2048,128,40,0.8,16077365.38286733
2048,128,40,0.99,16081595.128529003
2048,128,60,0.0,17433571.420086
2048,128,60,0.4,17671781.488342334
2048,128,60,0.8,17681212.201037
2048,128,60,0.99,17676411.353938665
2048,128,80,0.0,17802076.218626667
2048,128,80,0.4,17783798.970753334
2048,128,80,0.8,17793358.735302
2048,128,80,0.99,17759700.812001
2048,128,100,0.0,18498370.221594
