warehouses,threads,cross,servers,tput
8,4,80,8,30.223200000000002
8,4,100,2,25.190933333333334
8,4,100,4,23.479733333333332
8,4,100,8,26.965233333333334
8,8,0,2,41.0847
8,8,0,4,90.5265
8,8,0,8,152.09866666666665
8,8,20,2,32.9175
8,8,20,4,48.3881
8,8,20,8,52.541333333333334
8,8,40,2,28.205033333333333
8,8,40,4,37.7454
8,8,40,8,43.59556666666666
8,8,60,2,25.793633333333332
8,8,60,4,30.068399999999997
8,8,60,8,35.68246666666667
8,8,80,2,25.05356666666667
8,8,80,4,25.931433333333334
8,8,80,8,29.248166666666666
8,8,100,2,25.059466666666665
8,8,100,4,23.623100000000004
8,8,100,8,25.130533333333332
8,16,0,2,37.2611
8,16,0,4,78.40423333333332
8,16,0,8,147.04466666666664
8,16,20,2,23.619
8,16,20,4,44.72046666666666
8,16,20,8,49.30773333333334
8,16,40,2,23.58243333333333
8,16,40,4,34.28846666666667
8,16,40,8,39.480700000000006
8,16,60,2,23.5213
8,16,60,4,28.6241
8,16,60,8,31.087699999999998
8,16,80,2,21.874133333333333
8,16,80,4,24.040699999999998
8,16,80,8,24.990866666666665
8,16,100,2,21.593833333333333
8,16,100,4,21.425166666666666
8,16,100,8,21.8553
16,1,0,2,21.77503333333333
16,1,0,4,40.95316666666667
16,1,0,8,98.20283333333334
16,1,20,2,15.832866666666666
16,1,20,4,26.261166666666668
16,1,20,8,37.8148
16,1,40,2,12.423966666666667
16,1,40,4,19.0689
16,1,40,8,30.223666666666663
16,1,60,2,11.520633333333334
16,1,60,4,16.004366666666666
16,1,60,8,25.194
16,1,80,2,10.620766666666666
16,1,80,4,15.681566666666667
16,1,80,8,22.777033333333332
16,1,100,2,10.409323333333333
16,1,100,4,14.922000000000002
16,1,100,8,19.78273333333333
16,2,0,2,39.958733333333335
16,2,0,4,75.47109999999999
16,2,0,8,163.87599999999998
16,2,20,2,23.533866666666665
16,2,20,4,36.66993333333334
16,2,20,8,49.85033333333333
16,2,40,2,19.691733333333335
16,2,40,4,29.4729
16,2,40,8,36.91526666666667
16,2,60,2,18.1411
16,2,60,4,22.952233333333336
16,2,60,8,28.916633333333333
16,2,80,2,17.766833333333334
16,2,80,4,20.1923
16,2,80,8,24.092200000000002
16,2,100,2,16.694766666666666
16,2,100,4,19.056500000000003
16,2,100,8,21.487666666666666
16,4,0,2,43.69793333333333
16,4,0,4,81.19896666666666
16,4,0,8,169.679
16,4,20,2,26.20996666666667
16,4,20,4,43.33016666666666
16,4,20,8,54.104800000000004
16,4,40,2,24.034000000000002
16,4,40,4,32.9158
16,4,40,8,38.74973333333333
16,4,60,2,20.1935
16,4,60,4,27.7569
16,4,60,8,28.985133333333334
16,4,80,2,20.834
16,4,80,4,23.87506666666667
16,4,80,8,25.383766666666663
16,4,100,2,19.82323333333333
16,4,100,4,21.6062
16,4,100,8,22.259966666666667
16,8,0,2,44.63616666666667
16,8,0,4,88.39226666666666
16,8,0,8,152.48266666666666
16,8,20,2,31.3373
16,8,20,4,48.55633333333333
16,8,20,8,51.78223333333333
16,8,40,2,28.1647
16,8,40,4,38.37203333333333
16,8,40,8,39.591699999999996
16,8,60,2,21.170533333333335
16,8,60,4,29.39493333333333
16,8,60,8,27.933933333333332
16,8,80,2,21.42663333333333
16,8,80,4,24.769433333333335
16,8,80,8,25.148066666666665
16,8,100,2,20.673066666666667
16,8,100,4,22.6041
16,8,100,8,21.340333333333334
16,16,0,2,41.1522
16,16,0,4,81.21826666666668
16,16,0,8,134.83966666666666
16,16,20,2,24.162433333333336
16,16,20,4,43.984833333333334
16,16,20,8,50.0727
16,16,40,2,23.866466666666668
16,16,40,4,35.396899999999995
16,16,40,8,37.3091
16,16,60,2,23.092
16,16,60,4,28.278400000000005
16,16,60,8,28.8683
16,16,80,2,19.57796666666667
16,16,80,4,24.842633333333335
16,16,80,8,23.261
16,16,100,2,20.174933333333332
16,16,100,4,21.599999999999998
16,16,100,8,21.16973333333333
32,1,0,2,16.036466666666666
32,1,0,4,34.233
32,1,0,8,62.3288
32,1,20,2,12.233366666666667
32,1,20,4,20.532666666666668
32,1,20,8,33.86256666666666
32,1,40,2,10.712323333333332
32,1,40,4,16.950300000000002
32,1,40,8,27.1358
32,1,60,2,9.77879
32,1,60,4,14.362566666666666
32,1,60,8,20.4677
32,1,80,2,9.524116666666666
32,1,80,4,13.030966666666666
32,1,80,8,20.796466666666667
32,1,100,2,9.306656666666667
32,1,100,4,12.196366666666668
