alg,threads,record_size,req_per_query,total_count,read_ratio,zipf_theta,tput
2PL,1,8.0,100.0,512000.0,0.0,0.99,36594.333333333336
2PL,1,8.0,100.0,512000.0,0.2,0.0,18722.666666666668
2PL,1,8.0,100.0,512000.0,0.2,0.4,19380.333333333332
2PL,1,8.0,100.0,512000.0,0.2,0.8,26246.666666666668
2PL,1,8.0,100.0,512000.0,0.2,0.99,37077.0
2PL,1,8.0,100.0,512000.0,0.6,0.0,19445.0
2PL,1,8.0,100.0,512000.0,0.6,0.4,19384.666666666668
2PL,1,8.0,100.0,512000.0,0.6,0.8,25278.333333333332
2PL,1,8.0,100.0,512000.0,0.6,0.99,37670.666666666664
2PL,1,8.0,100.0,512000.0,1.0,0.0,18852.333333333332
2PL,1,8.0,100.0,512000.0,1.0,0.4,19723.333333333332
2PL,1,8.0,100.0,512000.0,1.0,0.8,25652.0
2PL,1,8.0,100.0,512000.0,1.0,0.99,38174.666666666664
2PL,1,8.0,100.0,2048000.0,0.0,0.0,17115.0
2PL,1,8.0,100.0,2048000.0,0.0,0.4,17359.0
2PL,1,8.0,100.0,2048000.0,0.0,0.8,21592.333333333332
2PL,1,8.0,100.0,2048000.0,0.0,0.99,31758.333333333332
2PL,1,8.0,100.0,2048000.0,0.2,0.0,17014.0
2PL,1,8.0,100.0,2048000.0,0.2,0.4,17108.0
2PL,1,8.0,100.0,2048000.0,0.2,0.8,21600.333333333332
2PL,1,8.0,100.0,2048000.0,0.2,0.99,32256.0
2PL,1,8.0,100.0,2048000.0,0.6,0.0,17358.666666666668
2PL,1,8.0,100.0,2048000.0,0.6,0.4,17239.333333333332
2PL,1,8.0,100.0,2048000.0,0.6,0.8,21374.0
2PL,1,8.0,100.0,2048000.0,0.6,0.99,31205.0
2PL,1,8.0,100.0,2048000.0,1.0,0.0,17825.0
2PL,1,8.0,100.0,2048000.0,1.0,0.4,17673.0
2PL,1,8.0,100.0,2048000.0,1.0,0.8,21616.0
2PL,1,8.0,100.0,2048000.0,1.0,0.99,32670.666666666668
2PL,1,8.0,100.0,8192000.0,0.0,0.0,16462.333333333332
