alg,bench,thread_count,warehouse_count,tput
ERMIA,TPCC-FULL,1,1.0,52688.06666666667
ERMIA,TPCC-FULL,1,2.0,55649.23333333334
ERMIA,TPCC-FULL,1,4.0,56950.63333333333
ERMIA,TPCC-FULL,1,8.0,57097.93333333333
ERMIA,TPCC-FULL,1,16.0,54918.03333333333
ERMIA,TPCC-FULL,1,32.0,52149.666666666664
ERMIA,TPCC-FULL,1,64.0,49285.166666666664
ERMIA,TPCC-FULL,2,1.0,89918.16666666667
ERMIA,TPCC-FULL,2,2.0,101132.33333333333
ERMIA,TPCC-FULL,2,4.0,104504.33333333333
ERMIA,TPCC-FULL,2,8.0,107800.33333333333
ERMIA,TPCC-FULL,2,16.0,108097.0
ERMIA,TPCC-FULL,2,32.0,100165.7
ERMIA,TPCC-FULL,2,64.0,96727.53333333334
ERMIA,TPCC-FULL,4,1.0,140101.0
ERMIA,TPCC-FULL,4,2.0,168726.33333333334
ERMIA,TPCC-FULL,4,4.0,172043.33333333334
ERMIA,TPCC-FULL,4,8.0,191027.33333333334
ERMIA,TPCC-FULL,4,16.0,179775.0
ERMIA,TPCC-FULL,4,32.0,185923.33333333334
ERMIA,TPCC-FULL,4,64.0,171611.66666666666
ERMIA,TPCC-FULL,8,1.0,181436.33333333334
ERMIA,TPCC-FULL,8,2.0,204406.66666666666
ERMIA,TPCC-FULL,8,4.0,306288.0
ERMIA,TPCC-FULL,8,8.0,326674.6666666667
ERMIA,TPCC-FULL,8,16.0,337840.0
ERMIA,TPCC-FULL,8,32.0,343547.3333333333
ERMIA,TPCC-FULL,8,64.0,335239.0
ERMIA,TPCC-FULL,16,1.0,139942.0
ERMIA,TPCC-FULL,16,2.0,319548.3333333333
ERMIA,TPCC-FULL,16,4.0,484616.6666666667
ERMIA,TPCC-FULL,16,8.0,575799.3333333334
ERMIA,TPCC-FULL,16,16.0,633785.6666666666
ERMIA,TPCC-FULL,16,32.0,618356.0
ERMIA,TPCC-FULL,16,64.0,
ERMIA,TPCC-FULL,28,1.0,80287.86666666667
ERMIA,TPCC-FULL,28,2.0,236922.5
ERMIA,TPCC-FULL,28,4.0,553567.0
ERMIA,TPCC-FULL,28,8.0,785752.3333333334
ERMIA,TPCC-FULL,28,16.0,889426.0
ERMIA,TPCC-FULL,28,32.0,925163.3333333334
ERMIA,TPCC-FULL,28,64.0,
FOEDUS,TPCC-FULL,4,1.0,95787.94266365399
FOEDUS,TPCC-FULL,4,2.0,190147.14852851475
FOEDUS,TPCC-FULL,4,4.0,333088.69965493405
FOEDUS,TPCC-FULL,4,8.0,347831.4883231169
FOEDUS,TPCC-FULL,4,16.0,349248.99084342486
FOEDUS,TPCC-FULL,4,32.0,321542.79877119133
FOEDUS,TPCC-FULL,4,64.0,350924.0953795231
FOEDUS,TPCC-FULL,4,128.0,345400.825130103
FOEDUS,TPCC-FULL,4,256.0,321793.8910305448
FOEDUS,TPCC-FULL,8,1.0,93781.88109059454
FOEDUS,TPCC-FULL,8,2.0,190954.00728050977
FOEDUS,TPCC-FULL,8,4.0,353862.02657681564
FOEDUS,TPCC-FULL,8,8.0,640759.1122583615
FOEDUS,TPCC-FULL,8,16.0,632188.3914660186
FOEDUS,TPCC-FULL,8,32.0,583490.8323633401
FOEDUS,TPCC-FULL,8,64.0,635704.2745538466
FOEDUS,TPCC-FULL,8,128.0,625975.9388011192
FOEDUS,TPCC-FULL,8,256.0,611593.3250159618
