nnodes,#WH,dist,alg,tp
1,64,10,2pl,4812.454304018723
1,64,10,Calvin,20076.835718470553
1,64,20,2pl,4731.501047679742
1,64,20,Calvin,20068.953963922293
1,64,30,2pl,4708.191876946389
1,64,30,Calvin,20077.87665741597
1,64,40,2pl,4671.560568942397
1,64,40,Calvin,20077.033879361465
1,64,50,2pl,4636.71411691825
1,64,50,Calvin,20069.7715942029
1,64,60,2pl,4622.551460904114
1,64,60,Calvin,20064.844907493065
1,64,70,2pl,4587.811008145128
1,64,70,Calvin,20032.376406105457
1,64,80,2pl,4508.115931291615
1,64,80,Calvin,20052.390942028986
1,64,90,2pl,4471.759715236284
1,64,90,Calvin,20048.96116013979
1,64,100,2pl,4450.9228574736835
1,64,100,Calvin,20046.73749922911
1,128,0,2pl,4686.618365798851
1,128,0,Calvin,24861.166666666668
1,128,10,2pl,4695.138326711779
1,128,10,Calvin,21860.05
1,128,20,2pl,4768.5299099792655
1,128,20,Calvin,22835.137777777778
1,128,30,2pl,4799.186830417919
1,128,30,Calvin,21862.033333333336
1,128,40,2pl,4482.063760388888
1,128,40,Calvin,21698.85666666667
1,128,50,2pl,4731.471435276017
1,128,50,Calvin,22612.006666666664
1,128,60,2pl,4584.699586725893
1,128,60,Calvin,21592.583333333332
1,128,70,2pl,4611.230880695197
1,128,70,Calvin,21991.926666666666
1,128,80,2pl,4546.47338071041
1,128,80,Calvin,21745.879999999997
1,128,90,2pl,4598.897041087835
1,128,90,Calvin,24392.78888888889
1,128,100,2pl,4408.07698639818
1,128,100,Calvin,22147.911111111112
2,1,0,2pl,61.23501045000887
2,1,0,Calvin,25408.929011627908
2,1,10,2pl,85.14348981023322
2,1,10,Calvin,24295.31437984496
2,1,20,2pl,1454.8101263214048
2,1,20,Calvin,23918.287088166893
2,1,30,2pl,900.3516575890766
2,1,30,Calvin,19817.01068169066
2,1,40,2pl,1206.6174310186113
2,1,40,Calvin,11954.20122739018
2,1,50,2pl,646.5753101980212
2,1,50,Calvin,21060.75670503876
2,1,60,2pl,705.2248927794726
2,1,60,Calvin,20154.143624713917
2,1,70,2pl,18091.356643495634
2,1,70,Calvin,20985.67126984127
2,1,80,2pl,698.9607820106806
2,1,80,Calvin,19444.021399580102
2,1,90,2pl,1139.2715097663724
2,1,90,Calvin,19529.4793353636
2,1,100,2pl,795.0993469093031
2,1,100,Calvin,18285.715965116276
2,2,0,2pl,2621.1919845155026
2,2,0,Calvin,32168.871274509806
2,2,10,2pl,16374.947395852709
2,2,10,Calvin,26475.732384169427
2,2,20,2pl,1625.2156518270042
2,2,20,Calvin,28758.56175648926
2,2,30,2pl,1834.6815320976384
2,2,30,Calvin,28265.70430112045
2,2,40,2pl,1060.837506049064
2,2,40,Calvin,22914.15385791154
2,2,50,2pl,2151.5195052713334
2,2,50,Calvin,25678.805688888893
2,2,60,2pl,2068.1951421849244
2,2,60,Calvin,24171.368980392155
2,2,70,2pl,303807.1134366628
2,2,70,Calvin,23256.31879607843
2,2,80,2pl,1230.5213037345618
2,2,80,Calvin,22324.129721176472
2,2,90,2pl,1657.239633898979
2,2,90,Calvin,21606.45699536971
2,2,100,2pl,1599.8890771550844
2,2,100,Calvin,19826.810180784316
2,4,0,2pl,6446.775806728993
2,4,0,Calvin,36249.38841269841
