Alg,#WH,#Distributed,#Threads,Throughput
Aria,8,60,8,3473.366666666667
Aria,8,60,12,4924.166666666667
Aria,8,70,1,492.26666666666665
Aria,8,70,2,955.2333333333332
Aria,8,70,4,1848.5333333333335
Aria,8,70,8,3470.7000000000003
Aria,8,70,12,4930.833333333333
Aria,8,80,1,491.23333333333335
Aria,8,80,2,967.8000000000001
Aria,8,80,4,1838.8999999999999
Aria,8,80,8,3472.9
Aria,8,80,12,4922.133333333333
Aria,8,90,1,486.8
Aria,8,90,2,960.1
Aria,8,90,4,1841.9666666666665
Aria,8,90,8,3468.4666666666667
Aria,8,90,12,4887.166666666667
Aria,8,100,1,492.1333333333334
Aria,8,100,2,954.1666666666666
Aria,8,100,4,1843.0666666666666
Aria,8,100,8,3480.4
Aria,8,100,12,4932.9
Aria,16,0,1,953.8666666666667
Aria,16,0,2,1862.1333333333332
Aria,16,0,4,3554.7333333333336
Aria,16,0,8,6725.599999999999
Aria,16,0,12,9551.766666666666
Aria,16,10,1,951.1
Aria,16,10,2,1858.2666666666667
Aria,16,10,4,3558.3333333333335
Aria,16,10,8,6718.833333333333
Aria,16,10,12,9537.466666666667
Aria,16,20,1,944.7333333333332
Aria,16,20,2,1841.3
Aria,16,20,4,3543.4
Aria,16,20,8,6716.066666666667
Aria,16,20,12,9535.433333333334
Aria,16,30,1,952.6666666666666
Aria,16,30,2,1844.7
Aria,16,30,4,3566.2999999999997
Aria,16,30,8,6718.933333333334
Aria,16,30,12,9549.766666666668
Aria,16,40,1,951.5333333333333
Aria,16,40,2,1845.2333333333333
Aria,16,40,4,3565.7666666666664
Aria,16,40,8,6703.900000000001
Aria,16,40,12,9573.133333333333
Aria,16,50,1,944.0666666666666
Aria,16,50,2,1858.7333333333333
Aria,16,50,4,3555.4
Aria,16,50,8,6709.833333333333
Aria,16,50,12,9521.1
Aria,16,60,1,945.4
Aria,16,60,2,1854.4333333333334
Aria,16,60,4,3570.366666666667
Aria,16,60,8,6699.066666666667
Aria,16,60,12,9556.933333333332
Aria,16,70,1,953.6333333333333
Aria,16,70,2,1847.8
Aria,16,70,4,3551.1666666666665
Aria,16,70,8,6676.3
Aria,16,70,12,9495.366666666667
Aria,16,80,1,945.0333333333333
Aria,16,80,2,1846.1666666666667
Aria,16,80,4,3567.9
Aria,16,80,8,6687.833333333333
Aria,16,80,12,9529.933333333334
Aria,16,90,1,944.1333333333333
Aria,16,90,2,1856.5666666666666
Aria,16,90,4,3578.7333333333336
Aria,16,90,8,6683.766666666666
Aria,16,90,12,9483.033333333333
Aria,16,100,1,948.6
Aria,16,100,2,1848.5
Aria,16,100,4,3555.2000000000003
Aria,16,100,8,6679.599999999999
Aria,16,100,12,9488.466666666667
Aria,32,0,1,1629.9333333333334
Aria,32,0,2,3209.933333333333
Aria,32,0,4,6138.933333333333
Aria,32,0,8,11618.0
Aria,32,0,12,16393.7
Aria,32,10,1,1640.2
Aria,32,10,2,3188.2000000000003
Aria,32,10,4,6137.0
Aria,32,10,8,11582.1
Aria,32,10,12,16488.399999999998
Aria,32,20,1,1633.1000000000001
Aria,32,20,2,3186.7666666666664
Aria,32,20,4,6162.8
Aria,32,20,8,11555.066666666666
Aria,32,20,12,16532.666666666668
Aria,32,30,1,1629.3333333333333
Aria,32,30,2,3209.1666666666665
Aria,32,30,4,6131.533333333333
Aria,32,30,8,11619.633333333333
Aria,32,30,12,16499.766666666666
Aria,32,40,1,1645.1000000000001
Aria,32,40,2,3198.7000000000003
Aria,32,40,4,6136.933333333334
Aria,32,40,8,11562.933333333334
Aria,32,40,12,16487.833333333332
Aria,32,50,1,1631.3333333333333
Aria,32,50,2,3209.366666666667
Aria,32,50,4,6170.333333333333
Aria,32,50,8,11577.199999999999
Aria,32,50,12,16513.233333333334
Aria,32,60,1,1633.1333333333332
Aria,32,60,2,3190.1
Aria,32,60,4,6162.900000000001
Aria,32,60,8,11584.666666666666
Aria,32,60,12,16548.36666666667
Aria,32,70,1,1648.8666666666668
Aria,32,70,2,3191.8333333333335
Aria,32,70,4,6152.233333333334
Aria,32,70,8,11565.666666666666
Aria,32,70,12,16519.366666666665
Aria,32,80,1,1645.3999999999999
Aria,32,80,2,3189.633333333333
Aria,32,80,4,6130.966666666667
Aria,32,80,8,11510.533333333333
Aria,32,80,12,16356.166666666666
Aria,32,90,1,1640.9666666666665
Aria,32,90,2,3181.2666666666664
Aria,32,90,4,6141.766666666666
Aria,32,90,8,11601.6
Aria,32,90,12,16518.166666666668
Aria,32,100,1,1630.6666666666667
Aria,32,100,2,3189.2666666666664
Aria,32,100,4,6129.7
Aria,32,100,8,11595.533333333333
Aria,32,100,12,16486.033333333333
Aria,64,0,1,2462.2000000000003
Aria,64,0,2,4746.3
Aria,64,0,4,9270.833333333334
Aria,64,0,8,17367.600000000002
Aria,64,0,12,24754.966666666664
Aria,64,10,1,2447.866666666667
Aria,64,10,2,4785.0
Aria,64,10,4,9218.699999999999
Aria,64,10,8,17377.666666666668
Aria,64,10,12,24631.2
Aria,64,20,1,2467.866666666667
Aria,64,20,2,4796.233333333334
Aria,64,20,4,9232.966666666667
Aria,64,20,8,17408.899999999998
Aria,64,20,12,24686.733333333334
Aria,64,30,1,2467.1666666666665
Aria,64,30,2,4790.066666666667
Aria,64,30,4,9225.233333333332
Aria,64,30,8,17432.0
Aria,64,30,12,24782.399999999998
Aria,64,40,1,2463.2999999999997
Aria,64,40,2,4787.066666666667
Aria,64,40,4,9220.166666666666
Aria,64,40,8,17418.8
Aria,64,40,12,24665.399999999998
Aria,64,50,1,2463.8333333333335
Aria,64,50,2,4784.033333333334
Aria,64,50,4,9253.566666666668
Aria,64,50,8,17392.766666666666
Aria,64,50,12,24807.86666666667
Aria,64,60,1,2475.9666666666667
Aria,64,60,2,4779.166666666667
Aria,64,60,4,9227.5
Aria,64,60,8,17368.966666666667
Aria,64,60,12,24732.733333333334
Aria,64,70,1,2466.0666666666666
Aria,64,70,2,4809.833333333333
Aria,64,70,4,9252.566666666666
Aria,64,70,8,17369.733333333334
Aria,64,70,12,24737.266666666666
Aria,64,80,1,2464.9
Aria,64,80,2,4807.933333333333
Aria,64,80,4,9203.333333333334
Aria,64,80,8,17356.966666666667
Aria,64,80,12,24768.2
Aria,64,90,1,2457.4
Aria,64,90,2,4781.166666666667
Aria,64,90,4,9218.266666666666
Aria,64,90,8,17391.666666666668
Aria,64,90,12,24910.533333333336
Aria,64,100,1,2471.2000000000003
Aria,64,100,2,4784.2
Aria,64,100,4,9209.233333333334
Aria,64,100,8,17392.866666666665
Aria,64,100,12,24703.7
Aria,128,0,1,3321.2666666666664
Aria,128,0,2,6452.066666666667
Aria,128,0,4,12460.666666666666
Aria,128,0,8,23471.966666666664
Aria,128,0,12,33401.200000000004
Aria,128,10,1,3307.066666666667
Aria,128,10,2,6466.433333333333
Aria,128,10,4,12415.566666666666
Aria,128,10,8,23515.533333333336
Aria,128,10,12,33422.86666666667
Aria,128,20,1,3310.5333333333333
Aria,128,20,2,6461.366666666666
Aria,128,20,4,12414.5
Aria,128,20,8,23473.100000000002
Aria,128,20,12,33436.333333333336
Aria,128,30,1,3308.933333333333
Aria,128,30,2,6493.099999999999
Aria,128,30,4,12420.733333333332
Aria,128,30,8,23437.933333333334
Aria,128,30,12,33502.86666666667
Aria,128,40,1,3307.1666666666665
Aria,128,40,2,6469.466666666667
Aria,128,40,4,12456.833333333334
Aria,128,40,8,23394.966666666664
Aria,128,40,12,33387.46666666667
Aria,128,50,1,3320.0
Aria,128,50,2,6477.766666666666
Aria,128,50,4,12471.666666666666
Aria,128,50,8,23461.2
Aria,128,50,12,33429.53333333333
Aria,128,60,1,3324.5333333333333
Aria,128,60,2,6458.233333333334
Aria,128,60,4,12445.333333333334
Aria,128,60,8,23490.5
Aria,128,60,12,33381.13333333333
Aria,128,70,1,3317.6666666666665
Aria,128,70,2,6471.5
Aria,128,70,4,12454.633333333333
Aria,128,70,8,23522.166666666668
Aria,128,70,12,33335.46666666667
Aria,128,80,1,3321.2333333333336
Aria,128,80,2,6415.533333333333
Aria,128,80,4,12445.199999999999
Aria,128,80,8,23439.833333333332
Aria,128,80,12,33390.23333333334
Aria,128,90,1,3310.9
Aria,128,90,2,6472.566666666666
Aria,128,90,4,12466.333333333334
Aria,128,90,8,23454.533333333336
Aria,128,90,12,33420.26666666667
Aria,128,100,1,3302.133333333333
Aria,128,100,2,6436.8
Aria,128,100,4,12437.4
Aria,128,100,8,23494.3
Aria,128,100,12,33412.433333333334
Aria,256,0,1,4082.8333333333335
Aria,256,0,2,7984.099999999999
Aria,256,0,4,15286.033333333333
Aria,256,0,8,28832.333333333332
Aria,256,0,12,41101.166666666664
Aria,256,10,1,4066.6
Aria,256,10,2,7929.166666666667
Aria,256,10,4,15291.6
Aria,256,10,8,28938.13333333333
Aria,256,10,12,41076.9
Aria,256,20,1,4086.0
Aria,256,20,2,7940.766666666666
Aria,256,20,4,15289.133333333333
Aria,256,20,8,28820.666666666668
Aria,256,20,12,41089.6
Aria,256,30,1,4083.866666666667
Aria,256,30,2,7926.266666666666
Aria,256,30,4,15271.033333333333
Aria,256,30,8,28971.033333333336
Aria,256,30,12,41142.4
Aria,256,40,1,4070.7666666666664
Aria,256,40,2,7929.833333333333
Aria,256,40,4,15310.733333333332
Aria,256,40,8,28874.766666666666
Aria,256,40,12,40905.23333333333
Aria,256,50,1,4082.966666666667
Aria,256,50,2,7964.099999999999
Aria,256,50,4,15236.4
Aria,256,50,8,28838.566666666666
Aria,256,50,12,41137.666666666664
Aria,256,60,1,4049.866666666667
Aria,256,60,2,7945.933333333333
Aria,256,60,4,15276.833333333334
Aria,256,60,8,28849.433333333334
Aria,256,60,12,41114.03333333333
Aria,256,70,1,4061.6666666666665
Aria,256,70,2,7938.066666666667
Aria,256,70,4,15261.466666666667
Aria,256,70,8,28838.166666666668
Aria,256,70,12,40898.0
Aria,256,80,1,4076.133333333333
Aria,256,80,2,7938.5
Aria,256,80,4,15310.433333333334
Aria,256,80,8,28794.033333333336
Aria,256,80,12,40929.13333333333
Aria,256,90,1,4066.1
Aria,256,90,2,7971.566666666667
Aria,256,90,4,15274.199999999999
Aria,256,90,8,28900.36666666667
Aria,256,90,12,40980.166666666664
Aria,256,100,1,4110.133333333333
Aria,256,100,2,7921.7
Aria,256,100,4,15325.1
Aria,256,100,8,28803.600000000002
Aria,256,100,12,41144.5
Aria,512,0,1,4629.266666666666
Aria,512,0,2,9029.866666666667
Aria,512,0,4,17339.7
Aria,512,0,8,32747.466666666664
Aria,512,0,12,46558.96666666667
Aria,512,10,1,4623.166666666667
Aria,512,10,2,8983.933333333334
Aria,512,10,4,17358.3
Aria,512,10,8,32693.433333333334
Aria,512,10,12,46421.13333333333
Aria,512,20,1,4600.400000000001
Aria,512,20,2,9022.800000000001
Aria,512,20,4,17339.233333333334
Aria,512,20,8,32816.833333333336
Aria,512,20,12,46661.76666666666
Aria,512,30,1,4606.566666666667
Aria,512,30,2,9048.166666666666
Aria,512,30,4,17332.333333333332
Aria,512,30,8,32720.733333333334
Aria,512,30,12,46572.833333333336
Aria,512,40,1,4612.400000000001
Aria,512,40,2,8982.1
Aria,512,40,4,17354.633333333335
Aria,512,40,8,32646.86666666667
Aria,512,40,12,46696.4
Aria,512,50,1,4645.866666666666
Aria,512,50,2,8987.633333333333
Aria,512,50,4,17284.933333333334
Aria,512,50,8,32611.033333333336
Aria,512,50,12,46663.03333333333
Aria,512,60,1,4610.733333333334
Aria,512,60,2,8966.9
Aria,512,60,4,17412.766666666666
Aria,512,60,8,32778.4
Aria,512,60,12,46482.53333333333
Aria,512,70,1,4612.633333333333
Aria,512,70,2,9005.6
Aria,512,70,4,17317.3
Aria,512,70,8,32692.7
Aria,512,70,12,46649.166666666664
Aria,512,80,1,4625.599999999999
Aria,512,80,2,8988.866666666667
Aria,512,80,4,17318.5
Aria,512,80,8,32635.766666666666
Aria,512,80,12,46654.1
Aria,512,90,1,4602.333333333333
Aria,512,90,2,8998.966666666667
Aria,512,90,4,17338.7
Aria,512,90,8,32730.666666666668
Aria,512,90,12,46365.96666666667
Aria,512,100,1,4625.933333333333
Aria,512,100,2,8977.566666666666
Aria,512,100,4,17340.233333333334
Aria,512,100,8,32739.466666666664
Aria,512,100,12,46267.63333333333
Aria,1024,0,1,4948.033333333334
Aria,1024,0,2,9669.433333333332
Aria,1024,0,4,18620.899999999998
Aria,1024,0,8,35040.333333333336
Aria,1024,0,12,49765.56666666667
Aria,1024,10,1,4982.3
Aria,1024,10,2,9634.9
Aria,1024,10,4,18607.033333333333
Aria,1024,10,8,35100.200000000004
