stratified_term,sample_ratio,random,alg,num_of_terms_changed,num_turning_mismatch,avg_diff_per_var,r2_full,r2_sample,r2_unsample,avg_frechet_dist
threads,0.95,76,silo_ycsb_threads,0.0,0.0,0.009045616543086,0.9966707859675427,0.9968458452924254,0.9873265211080322,0.023052230732759818
keys,0.75,63,silo_ycsb_keys,0.0,0.0,0.045528798445018656,0.9966707859675427,0.9978465909328097,0.9743517968374695,0.06603121612725671
value_size,0.75,61,herd_ycsb_value_size,0.0,0.0,0.009331690234987589,0.9795559629902447,0.9811997656814242,0.9739537849018393,0.005717580981848491
threads,0.80,21,star_tpcc_threads,0.0,0.027777777777777776,0.0021308234252873,0.9891328938680841,0.9913749947197851,0.9760663741123253,0.019124930363648502
ReadRatio,0.50,80,silo_ycsb_ReadRatio,1.0,0.5533333333333333,0.06204159966296316,0.9966707859675427,0.9997691975919484,0.8688097956621039,0.1474108315754673
nShard,0.70,47,tapir_ycsb_nShard,0.0,1.0,0.015350005080255802,0.9635074374070052,0.9676486826011311,0.9433244384798873,0.0901562532670458
threads,0.95,99,star_tpcc_threads,0.0,0.027777777777777776,0.003351396882316971,0.9891328938680841,0.9891173474036455,0.9843100467412637,0.01118947837651262
cross,0.45,63,gam_tpcc_cross,0.3333333333333333,0.3611111111111111,0.01592914586408395,0.9571731790672277,0.9725703676413403,0.8133488048137381,0.14084925260957398
servers,0.35,52,star_tpcc_servers,0.6666666666666666,0.07222222222222223,0.11300698278218871,0.9891328938680841,0.9943418601229767,0.9107934020439378,0.33940997864979117
nShard,0.80,31,tapir_ycsb_nShard,1.0,0.125,0.007502949277960191,0.9635074374070052,0.9650983459891169,0.9468302390773119,0.03161069977950204
threads,0.60,69,star_ycsb_threads,0.0,0.03333333333333333,0.0037962233615259633,0.9641920557079284,0.9676789088347355,0.9540643039926571,0.00843395111877142
node,0.40,45,drtm_tpcc_node,0.3333333333333333,0.3541666666666667,0.021322833820800552,0.9404530615383303,0.9501164865898202,0.8435085930079932,0.11239691600749165
read_ratio,0.75,54,cicada-Cicada_ycsb_read_ratio,0.0,0.0,0.007118713838706409,0.9228232541022933,0.9247166206061554,0.9136416050015143,0.012408746289637621
Distributed,0.45,92,aria-Aria_tpcc_Distributed,0.0,0.0,0.0627807760854332,0.9999855166700965,0.999991502198535,0.9960987240699618,0.003015278682521272
terminal,0.60,81,mysql_tpcc_terminal,0.0,0.0,0.010599434349037512,0.998218669377621,0.9984044587573929,0.997208532124413,0.016622890230174464
node,0.65,62,drtm_tpcc_node,0.0,0.020833333333333332,0.013951432138048656,0.9404530615383303,0.9417712502442191,0.9228477898378121,0.06193411305942761
scale_factor,0.45,31,drtm_tpcc_scale_factor,0.3333333333333333,0.3645833333333333,0.03215931800854981,0.9404530615383303,0.9538776273169818,0.8929092167005636,0.15741049351145256
threads,0.85,80,drtm_tpcc_threads,0.0,0.010416666666666666,0.007389224539250468,0.9404530615383303,0.938959773385163,0.9276036842548658,0.05357518207038577
req_per_query,0.70,21,cicada-Cicada_ycsb_req_per_query,0.0,0.0,0.0011170656679418967,0.9228232541022933,0.9262132886052995,0.9095144860979071,0.005473708161537779
WH,0.50,16,calvin-Calvin_tpcc_WH,0.5,0.05119047619047619,0.1534752364194589,0.9512803843365047,0.9859299375555777,0.7275883464376207,0.2960674062108817
zipf_theta,0.90,13,cicada-Cicada_ycsb_zipf_theta,0.0,0.0,0.0012840026115542857,0.9228232541022933,0.9226643734555451,0.9216673924762447,0.0030165009471407886
zipf_theta,0.85,87,cicada-Cicada_ycsb_zipf_theta,0.0,0.0,0.001083009997080775,0.9228232541022933,0.9243041695585446,0.9098005261591158,0.014146355647848278
node,0.80,23,drtm_tpcc_node,0.0,0.0,0.021224519388046703,0.9404530615383303,0.9428467566142843,0.9102215482853696,0.053291227239031985
servers,0.80,40,star_ycsb_servers,0.0,0.1,0.00037530240956024086,0.9641920557079284,0.9643771624942804,0.9618684950745507,0.00576120240232711
num_chunk,0.75,34,mysql_tpcc_num_chunk,0.0,0.0,0.011660439310597404,0.998218669377621,0.9981874948354195,0.9979253500140648,0.008783661692448765
dist,0.55,67,calvin-Calvin_tpcc_dist,0.5,0.02261904761904762,0.02017223174243074,0.9512803843365047,0.976745717387437,0.8128004618105824,0.272556601265915
servers,0.75,85,star_ycsb_servers,0.0,0.0,0.0030638832793639936,0.9641920557079284,0.9653951546071158,0.9557676918809375,0.005663523066466774
WH,0.60,83,aria-Aria_tpcc_WH,0.0,0.0,0.0007947843172892988,0.9999855166700965,0.9999872962520782,0.9999805758535352,0.0004685678638015611
terminal,0.45,32,mysql_tpcc_terminal,0.0,0.0,0.02054846501028984,0.998218669377621,0.9989595781937481,0.9962630265542699,0.0208535407885771
threads,0.80,80,janus-Janus_tpcc_threads,0.0,0.01904761904761905,0.0035574114890247824,0.955801103792088,0.9535214925762485,0.9231384447313434,0.044171308706149666
