sample_ratio,random,split,alg,num_of_terms_changed,num_turning_mismatch,avg_diff_per_var,r2_full,r2_sample,r2_unsample,avg_frechet_dist
0.90,5,9,silo_ycsb,1.5,0.5533333333333333,0.0484655656472667,0.9966707859675427,0.9979700439086795,0.942290177892373,0.8309315807316279
0.85,5,3,star_tpcc,0.0,0.0,0.019713400808509807,0.9891328938680841,0.9910858975332805,0.9782585837521309,0.02297814937434302
0.35,8,0,star_tpcc,1.0,0.6944444444444443,0.07246025768832219,0.9891328938680841,0.9966927564483309,0.6962164507730602,0.16328512968477363
0.65,5,3,silo_ycsb,1.5,0.5533333333333333,0.04192473940413341,0.9966707859675427,0.99440631626387,0.638246033774726,0.4294139061207209
0.95,1,5,silo-Silo_tpcc,0.0,0.044444444444444446,0.06058134780579981,0.9834710484572299,0.9868121075630467,0.9629515256215272,0.04163551208573683
0.95,9,3,cicada-Cicada_ycsb,0.0,0.0,0.012029642592197326,0.9228232541022933,0.9259510281249177,0.9089341351999629,0.019876205338354883
0.50,4,7,drtm_tpcc,0.0,0.3645833333333333,0.032012383980318776,0.9404530615383303,0.9554662405519694,0.9109513153614901,0.25312293371401695
0.50,0,6,drtm_tpcc,0.3333333333333333,0.3645833333333333,0.030786967173948104,0.9404530615383303,0.9480953738803801,0.8759410910042399,0.1975909102263263
0.70,4,5,silo-Silo_tpcc,0.0,0.07777777777777778,0.045103952074109055,0.9834710484572299,0.9925478597315353,0.8877789995265186,0.2399464499001327
0.65,7,2,star_ycsb,0.0,0.06666666666666667,0.004167759910658042,0.9641920557079284,0.9663305933748537,0.9656773269037267,0.01562700622901637
0.45,5,4,silo-Silo_tpcc,0.5,0.09444444444444446,0.13289540818635526,0.9834710484572299,0.9975658818333938,0.44542529430390565,0.4049796927074176
0.60,9,3,star_ycsb,0.0,0.03333333333333333,0.011347790963817828,0.9641920557079284,0.9702204103913221,0.9550651960599303,0.01694150655356125
0.30,0,8,mysql_tpcc,0.0,0.0,0.015339794875255941,0.998218669377621,0.9992313801866274,0.9767930411550614,0.27845952303362026
0.40,2,4,tapir_ycsb,1.0,0.0625,0.07472482824928248,0.9635074374070052,0.9538947370801553,0.9432027628104294,0.06609568250778408
0.80,1,5,star_ycsb,0.0,0.03333333333333333,0.004441512067782011,0.9641920557079284,0.9660035862601573,0.9576470750391682,0.013809394571291047
0.85,8,0,star_ycsb,0.0,0.03333333333333333,0.0017707149416019974,0.9641920557079284,0.965488160258897,0.9632764124448606,0.010746572951468832
0.55,6,5,mysql_tpcc,0.0,0.5,0.003400637125949013,0.998218669377621,0.9988902342145168,0.995623244963692,0.24947215068814374
0.15,4,7,star_ycsb,0.0,0.1,0.008985330812113668,0.9641920557079284,0.9763711880544141,0.9335098251743997,0.041279184200284244
0.45,8,8,mysql_tpcc,0.0,0.5,0.05549629312465462,0.998218669377621,0.998985560148696,0.9955717268758508,0.3109091331783139
0.80,4,1,postgresql_tpcc,0.0,0.0,0.0024711146956707397,0.998519743400367,0.9985237337455712,0.9976646149833234,0.011000123702678485
0.55,2,3,janus-Janus_tpcc,0.25,0.13363095238095238,0.06637510721382768,0.955801103792088,0.9713574428252275,0.9273995449696849,0.3123999495664711
0.85,8,4,postgresql_tpcc,0.0,0.0,0.16140669936509405,0.998519743400367,0.9973444142173292,0.9960865355798453,0.01306519805711237
