stratified_term,sample_ratio,random,alg,num_of_terms_changed,num_turning_mismatch,avg_diff_per_var,r2_full,r2_sample,r2_unsample,avg_frechet_dist
zipf_theta,0.05,66,cicada-Cicada_ycsb_zipf_theta,1.0,0.16666666666666666,0.032420036941617075,0.9228232541022933,0.9420456483263644,0.763397981441501,0.15759976472047235
shared_buffer,0.60,38,postgresql_tpcc_shared_buffer,0.0,0.0,0.01921191726728111,0.998519743400367,0.9984356136206733,0.996900372746027,0.05825993449448991
nnodes,0.25,35,calvin-Calvin_tpcc_nnodes,0.0,0.0,0.030462818077830217,0.805957535218111,0.8381731887415279,0.6892523543172477,0.09966855624281712
threads,0.75,79,silo_ycsb_threads,0.0,0.0,0.028664923453275752,0.9966707859675427,0.998419154264121,0.9742128367517643,0.048963150438934344
WH,0.45,41,calvin-Calvin_tpcc_WH,0.0,0.0,0.005411465840231708,0.805957535218111,0.8302507456105211,0.6981260879255049,0.09415575689339292
partition_num,0.35,35,star_tpcc_partition_num,0.3333333333333333,0.3333333333333333,0.2017686032519247,0.9891328938680841,0.999999208034161,0.7216467752452191,0.34200898707053534
dist,0.55,59,calvin-Calvin_tpcc_dist,0.5,0.5,0.016282735782843116,0.805957535218111,0.8149917498416099,0.6803037630836741,0.09655209573488205
WH,0.45,89,calvin-Calvin_tpcc_WH,0.0,0.5,0.02541467312805354,0.805957535218111,0.7951324762850187,0.6674627058563127,0.1529181182488485
nnodes,0.15,47,calvin-Calvin_tpcc_nnodes,0.0,0.5,0.05792406371512751,0.805957535218111,0.9115790960307792,0.15582566044751767,0.1578251783177571
keys,0.55,60,tapir_ycsb_keys,0.0,0.0,0.007286182601708019,0.9635074374070052,0.9682733896061315,0.9451672221827843,0.06760594377257334
put_percent,0.15,4,herd_ycsb_put_percent,0.0,0.0,0.008010849662441255,0.9795559629902447,0.9825324519270457,0.9658618593009214,0.01705070579765211
nnodes,0.10,46,calvin-Calvin_tpcc_nnodes,0.5,1.0,0.07025653780713229,0.805957535218111,0.9411120698899857,,0.28432437188482024
keys,0.75,73,tapir_ycsb_keys,0.0,0.0,0.001793329955509182,0.9635074374070052,0.9584266270046512,0.9564042417957807,0.09074855022921047
keys,0.65,94,tapir_ycsb_keys,0.0,0.0,0.001174435585981598,0.9635074374070052,0.9619181891182774,0.9651115175147472,0.045777764378601926
